sample_id,source_company,source_platform,posting_id,title,raw_location,source_url,human_function,human_seniority,human_normalized_location,human_duplicate_or_repost,human_lifecycle_status,reviewer_id,annotation_timestamp,ambiguity_flag,notes
job-v03-001,Cloudflare,,,"Account Executive, FedCiv",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7695702?gh_jid=7695702,,,,,,,,,
job-v03-002,Cloudflare,,,Accounting Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/7902104?gh_jid=7902104,,,,,,,,,
job-v03-003,Cloudflare,,,Accounts Payable Specialist,In-Office,https://boards.greenhouse.io/cloudflare/jobs/8077075?gh_jid=8077075,,,,,,,,,
job-v03-004,Cloudflare,,,AI Security Research & Red Team Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8097321?gh_jid=8097321,,,,,,,,,
job-v03-005,Cloudflare,,,Business Development Manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8084358?gh_jid=8084358,,,,,,,,,
job-v03-006,Cloudflare,,,Business Development Representative,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8078210?gh_jid=8078210,,,,,,,,,
job-v03-007,Cloudflare,,,Business Development Representative - Arabic Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/6696709?gh_jid=6696709,,,,,,,,,
job-v03-008,Cloudflare,,, Business Development Representative (BDR) ,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/6557318?gh_jid=6557318,,,,,,,,,
job-v03-009,Cloudflare,,," Business Development Representative (BDR), LATAM Spanish Speaking",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7991345?gh_jid=7991345,,,,,,,,,
job-v03-010,Cloudflare,,,"Business Development Representative - Danish, Norwegian or Swedish Speaking",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7657028?gh_jid=7657028,,,,,,,,,
job-v03-011,Cloudflare,,,Business Development Representative - Dutch Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7883803?gh_jid=7883803,,,,,,,,,
job-v03-012,Cloudflare,,,Business Development Representative - German Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7504487?gh_jid=7504487,,,,,,,,,
job-v03-013,Cloudflare,,,Business Development Representative - Turkish Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7772239?gh_jid=7772239,,,,,,,,,
job-v03-014,Cloudflare,,,Chief of Staff to Chief Strategy Officer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8076815?gh_jid=8076815,,,,,,,,,
job-v03-015,Cloudflare,,,Commercial Account Executive (German speaking),Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7478874?gh_jid=7478874,,,,,,,,,
job-v03-016,Cloudflare,,,"Commercial Account Executive, Saudi Arabia",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8045313?gh_jid=8045313,,,,,,,,,
job-v03-017,Cloudflare,,,"Commercial Account Executive, UAE & Oman",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8045292?gh_jid=8045292,,,,,,,,,
job-v03-018,Cloudflare,,,"Country Director, India",Remote India,https://boards.greenhouse.io/cloudflare/jobs/7588061?gh_jid=7588061,,,,,,,,,
job-v03-019,Cloudflare,,,CTO Operations Lead,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8120031?gh_jid=8120031,,,,,,,,,
job-v03-020,Cloudflare,,,"Customer Engineer, India (Based in Mumbai)",Remote India,https://boards.greenhouse.io/cloudflare/jobs/7955378?gh_jid=7955378,,,,,,,,,
job-v03-021,Cloudflare,,,"Customer Engineer (Pre-Sales), Korea (Based in Seoul)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8027774?gh_jid=8027774,,,,,,,,,
job-v03-022,Cloudflare,,,Customer Experience Manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7988072?gh_jid=7988072,,,,,,,,,
job-v03-023,Cloudflare,,,Customer Experience Manager - French Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8063946?gh_jid=8063946,,,,,,,,,
job-v03-024,Cloudflare,,,Customer Experience Manager - Russian Speaking,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7241874?gh_jid=7241874,,,,,,,,,
job-v03-025,Cloudflare,,,Data Analyst,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8109620?gh_jid=8109620,,,,,,,,,
job-v03-026,Cloudflare,,,Data Center DCIM Program Leader - Infrastructure Operations,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7535803?gh_jid=7535803,,,,,,,,,
job-v03-027,Cloudflare,,,Data Center Infrastructure Management (DCIM) Administrator - Infrastructure Operations,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7736431?gh_jid=7736431,,,,,,,,,
job-v03-028,Cloudflare,,,Deal Desk Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8059772?gh_jid=8059772,,,,,,,,,
job-v03-029,Cloudflare,,,Deal Desk Manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8052464?gh_jid=8052464,,,,,,,,,
job-v03-030,Cloudflare,,,"Deal Desk Manager, EMEA",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7544182?gh_jid=7544182,,,,,,,,,
job-v03-031,Cloudflare,,,Detection & Mitigation Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7489019?gh_jid=7489019,,,,,,,,,
job-v03-032,Cloudflare,,,Digital Communications Director,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8049608?gh_jid=8049608,,,,,,,,,
job-v03-033,Cloudflare,,,Digital Customer Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8041034?gh_jid=8041034,,,,,,,,,
job-v03-034,Cloudflare,,,"Director, Customer Engineering",Hybrid or Remote,https://boards.greenhouse.io/cloudflare/jobs/8077424?gh_jid=8077424,,,,,,,,,
job-v03-035,Cloudflare,,,"Director, Developer GTM Finance",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8056660?gh_jid=8056660,,,,,,,,,
job-v03-036,Cloudflare,,,"Director, Enterprise Sales (AI & Digital Natives)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8051547?gh_jid=8051547,,,,,,,,,
job-v03-037,Cloudflare,,,"Director, Enterprise Sales (AI & Digital Natives)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8051548?gh_jid=8051548,,,,,,,,,
job-v03-038,Cloudflare,,,"Director, Enterprise Sales, Japan   ",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7374496?gh_jid=7374496,,,,,,,,,
job-v03-039,Cloudflare,,,Director of Developer Events,In-Office,https://boards.greenhouse.io/cloudflare/jobs/7964809?gh_jid=7964809,,,,,,,,,
job-v03-040,Cloudflare,,,"Director, Strategic Finance & Investor Relations",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8036150?gh_jid=8036150,,,,,,,,,
job-v03-041,Cloudflare,,,"Distributed Systems Engineer, Analytical Database Platform",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7462799?gh_jid=7462799,,,,,,,,,
job-v03-042,Cloudflare,,,Distributed Systems Engineer - Data Platform - Analytics and Alerts,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7462803?gh_jid=7462803,,,,,,,,,
job-v03-043,Cloudflare,,,"Distributed Systems Engineer - Data Platform (Delivery, Database, Retrieval)",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7462801?gh_jid=7462801,,,,,,,,,
job-v03-044,Cloudflare,,,Distributed Systems Engineer - Data Platform - Logs and Audit Logs,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7462802?gh_jid=7462802,,,,,,,,,
job-v03-045,Cloudflare,,,"Engineering Manager, Browser Run",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8099000?gh_jid=8099000,,,,,,,,,
job-v03-046,Cloudflare,,,"Engineering Manager, Cloudflare Network Interconnect",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8083701?gh_jid=8083701,,,,,,,,,
job-v03-047,Cloudflare,,,"Engineering Manager, Linux Team",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7647474?gh_jid=7647474,,,,,,,,,
job-v03-048,Cloudflare,,,Engineering Manager - Security Platform,Distributed; Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8007815?gh_jid=8007815,,,,,,,,,
job-v03-049,Cloudflare,,,"Engineering Manager - Workers Runtime, Edge Team",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7653558?gh_jid=7653558,,,,,,,,,
job-v03-050,Cloudflare,,,"Enterprise Customer Engineer, Thailand",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7956846?gh_jid=7956846,,,,,,,,,
job-v03-051,Cloudflare,,,Forward Deployed Engineer (FDE),Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7572075?gh_jid=7572075,,,,,,,,,
job-v03-052,Cloudflare,,,"Forward Deployed Engineer, Hebrew speaker",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7778816?gh_jid=7778816,,,,,,,,,
job-v03-053,Cloudflare,,,"Forward Deployed Engineer, Professional Services",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8043287?gh_jid=8043287,,,,,,,,,
job-v03-054,Cloudflare,,,Full Stack Engineer - Internal Audit,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8014902?gh_jid=8014902,,,,,,,,,
job-v03-055,Cloudflare,,,Global Payment Operations Lead,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8041131?gh_jid=8041131,,,,,,,,,
job-v03-056,Cloudflare,,,GRC Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8045914?gh_jid=8045914,,,,,,,,,
job-v03-057,Cloudflare,,,"Head of GTM, AI Inference",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7428796?gh_jid=7428796,,,,,,,,,
job-v03-058,Cloudflare,,,Incident Response Analyst - React,In-Office,https://boards.greenhouse.io/cloudflare/jobs/8025650?gh_jid=8025650,,,,,,,,,
job-v03-059,Cloudflare,,,Indirect Tax Manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8081435?gh_jid=8081435,,,,,,,,,
job-v03-060,Cloudflare,,,Insider Threat Engineer,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8064055?gh_jid=8064055,,,,,,,,,
job-v03-061,Cloudflare,,,Intelligence Production Lead,Hybrid; In-Office,https://boards.greenhouse.io/cloudflare/jobs/8046137?gh_jid=8046137,,,,,,,,,
job-v03-062,Cloudflare,,,"Interconnection Manager, Network Strategy Americas",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8046869?gh_jid=8046869,,,,,,,,,
job-v03-063,Cloudflare,,,Litigation Counsel,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7972472?gh_jid=7972472,,,,,,,,,
job-v03-064,Cloudflare,,,"Major Account Executive, France",Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7552575?gh_jid=7552575,,,,,,,,,
job-v03-065,Cloudflare,,,Marketing Campaigns & Account-Based Marketing (ABM) Intern (Fall 2026),In-Office,https://boards.greenhouse.io/cloudflare/jobs/7838607?gh_jid=7838607,,,,,,,,,
job-v03-066,Cloudflare,,,Marketing Strategy and Operations Lead ,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8030678?gh_jid=8030678,,,,,,,,,
job-v03-067,Cloudflare,,,Named Account Executive,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/6540163?gh_jid=6540163,,,,,,,,,
