occasion_id,company,ticker,stable_id,sector,stratum,cutoff,window_end,dataset_partition,target,horizon_days,inclusion_status,exclusion_reason,selection_rank,selection_hash
rv2-SNR-2021-12-31,Senior,SNR,gb-snr,Aerospace and automotive,aerospace_auto_defence,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,9,57160a649fedd198bdbc12bc2337ce9f51d2dddd230fe912250666890ddaee40
rv2-SNR-2022-12-31,Senior,SNR,gb-snr,Aerospace and automotive,aerospace_auto_defence,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,9,57160a649fedd198bdbc12bc2337ce9f51d2dddd230fe912250666890ddaee40
rv2-CHRT-2021-12-31,Cohort,CHRT,gb-chrt,Aerospace and defence,aerospace_auto_defence,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,18,873abd5c7dd6b053c8b7ccf70ae0b50873dcb525cb387a011b79918a5ca0b3f0
rv2-CHRT-2022-12-31,Cohort,CHRT,gb-chrt,Aerospace and defence,aerospace_auto_defence,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,18,873abd5c7dd6b053c8b7ccf70ae0b50873dcb525cb387a011b79918a5ca0b3f0
rv2-MRO-2021-12-31,Melrose Industries,MRO,gb-mro,Aerospace engineering,aerospace_auto_defence,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,25,c1bb335eb31528ff906aed1795a81af1d8f06384e2f7fca43508b1c44747574c
rv2-MRO-2022-12-31,Melrose Industries,MRO,gb-mro,Aerospace engineering,aerospace_auto_defence,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,25,c1bb335eb31528ff906aed1795a81af1d8f06384e2f7fca43508b1c44747574c
rv2-ELM-2021-12-31,Elementis,ELM,gb-elm,Specialty materials,materials_building,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,15,647524ad47003f7559686f55ce4a7e545f437eca53d4732c18a3aa31a2cc4ac9
rv2-ELM-2022-12-31,Elementis,ELM,gb-elm,Specialty materials,materials_building,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,15,647524ad47003f7559686f55ce4a7e545f437eca53d4732c18a3aa31a2cc4ac9
rv2-CRPR-2021-12-31,James Cropper,CRPR,gb-crpr,Advanced materials,materials_building,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,12,47ce44fa8f3f5da83e8ba7f7945539564bd2b8e5f44ec932352774715e080506
rv2-CRPR-2022-12-31,James Cropper,CRPR,gb-crpr,Advanced materials,materials_building,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,12,47ce44fa8f3f5da83e8ba7f7945539564bd2b8e5f44ec932352774715e080506
rv2-VCT-2021-12-31,Victrex,VCT,v1-vct,v1 feasibility,development_only,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,0,v1-development
rv2-VCT-2022-12-31,Victrex,VCT,v1-vct,v1 feasibility,development_only,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,0,v1-development
rv2-RCDO-2021-12-31,Ricardo,RCDO,gb-rcdo,Automotive engineering,aerospace_auto_defence,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,4,364d85d99c130da674f695ed9db055e4b6c99b768ab10533ab1bf32fbd5a49fa
rv2-RCDO-2022-12-31,Ricardo,RCDO,gb-rcdo,Automotive engineering,aerospace_auto_defence,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,4,364d85d99c130da674f695ed9db055e4b6c99b768ab10533ab1bf32fbd5a49fa
rv2-IMI-2021-12-31,IMI,IMI,gb-imi,Industrial engineering,engineering_equipment,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,17,935818da09c83be0a964ac9ecff5a341bd1b5b2f64f57815cd11f16212613751
rv2-IMI-2022-12-31,IMI,IMI,gb-imi,Industrial engineering,engineering_equipment,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,17,935818da09c83be0a964ac9ecff5a341bd1b5b2f64f57815cd11f16212613751
rv2-SPX-2021-12-31,Spirax Group,SPX,gb-spx,Thermal engineering,engineering_equipment,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,15,7285c372e4baf403ae14c260b39972ef489ed73a14d509c82913d0819acd5aec
rv2-SPX-2022-12-31,Spirax Group,SPX,gb-spx,Thermal engineering,engineering_equipment,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,15,7285c372e4baf403ae14c260b39972ef489ed73a14d509c82913d0819acd5aec
rv2-PRV-2021-12-31,Porvair,PRV,gb-prv,Filtration technology,engineering_equipment,2021-12-31,2022-12-31,development,restructuring_announced,365,included_pending_source_verification,,5,24318b77939a9da23957a0555bce11a2966f5f62c532ac80cfcf5346b86af476
rv2-PRV-2022-12-31,Porvair,PRV,gb-prv,Filtration technology,engineering_equipment,2022-12-31,2023-12-31,development,restructuring_announced,365,included_pending_source_verification,,5,24318b77939a9da23957a0555bce11a2966f5f62c532ac80cfcf5346b86af476
