company,ticker,subsector,selection_key
AB Dynamics,ABDP,Automotive testing,ABDP
Bodycote,BOY,Industrial services,BOY
Chemring Group,CHG,Aerospace and defence,CHG
Coats Group,COA,Industrial materials,COA
Cohort,CHRT,Aerospace and defence,CHRT
Costain Group,COST,Engineering services,COST
Dialight,DIA,Industrial technology,DIA
discoverIE Group,DSCV,Industrial technology,DSCV
Dowlais Group,DWL,Automotive components,DWL
Elementis,ELM,Specialty materials,ELM
Forterra,FORT,Building materials,FORT
Goodwin,GDWN,Mechanical engineering,GDWN
Hill & Smith,HILS,Infrastructure products,HILS
IMI,IMI,Industrial engineering,IMI
James Cropper,CRPR,Advanced materials,CRPR
Keller Group,KLR,Engineering services,KLR
Melrose Industries,MRO,Aerospace and engineering,MRO
Morgan Advanced Materials,MGAM,Advanced materials,MGAM
Porvair,PRV,Filtration technology,PRV
QinetiQ Group,QQ,Aerospace and defence,QQ
Renishaw,RSW,Precision engineering,RSW
Ricardo,RCDO,Engineering consultancy,RCDO
Rotork,ROR,Industrial engineering,ROR
Senior,SNR,Aerospace and automotive,SNR
Severfield,SFR,Structural engineering,SFR
Spirax Group,SPX,Thermal engineering,SPX
TT Electronics,TTG,Electronic engineering,TTG
Vesuvius,VSVS,Industrial materials,VSVS
Victrex,VCT,Advanced materials,VCT
XP Power,XPP,Power technology,XPP
