case_id,document_id,source_span,event_candidate,target_company_relevance,subject_entity,subject_type,actual_hypothetical_status,current_historical_status,risk_section_status,expected_disposition,root_cause_category,formal_gold,admissible_for_model2_gate,notes
v032-unseen-001,ee03-clf-0000764065-23-000032,"Even though many other employers are facing unprecedented labor shortages, we continued to grow during 2022.",labour_constraint,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,third_party_context,false,false,Labour shortage describes other employers rather than the target company.
v032-unseen-002,ee03-clf-0000764065-23-000032,"Automotive production and sales are cyclical and sensitive to general economic conditions and other factors, including interest rates, consumer credit, spending and preferences, and supply chain disruptions, such as the current semiconductor shortage.",supply_chain_constraint,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,generic_risk,false,false,Automotive industry sensitivity list does not establish a current company constraint.
v032-unseen-005,ee03-clf-0000764065-23-000032,"Prices for electricity, natural gas, diesel fuel, oils and raw materials can fluctuate widely with availability and demand levels from other users, including fluctuations caused by the impact of recent inflationary pressures, supply chain constraints, the 22",supply_chain_constraint,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,generic_risk,false,false,Commodity availability risk wording does not establish a current event.
v032-unseen-006,ee03-clf-0000764065-23-000032,"The closure of a steelmaking or other operating facility or mining operation involves significant closure costs, including reclamation and other environmental costs, the costs of terminating long-term obligations, including customer, energy and transportation contracts and equipment and real property leases, costs associated with the altered tax profile of an idled or closed facility, and certain accounting charges, including asset impairment and accelerated depreciation.",site_closure,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,accounting_or_definition,false,false,Facility-closure cost definition does not report a closure event.
v032-unseen-007,ee03-clf-0000764065-23-000032,"Cliffs maintains exploration drill hole data in an externally-managed, access-controlled acQuire database that is backed up online at regularly scheduled intervals to provide data redundancy and security.",redundancy,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,wrong_context,false,false,Database redundancy is technical resilience not workforce redundancy.
v032-unseen-010,ee03-clf-0000764065-23-000032,"CLF 2022 FORM 10-K Table of Contents • unanticipated or higher costs associated with pension and OPEB obligations resulting from changes in the value of plan assets or contribution increases required for unfunded obligations; • uncertain availability or cost of skilled workers to fill critical operational positions and potential labor shortages caused by experienced employee attrition or otherwise, as well as our ability to attract, hire, develop and retain key personnel; • the amount and timing of any repurchases of our common shares; and • potential significant deficiencies or material weaknesses in our internal control over financial reporting.",labour_constraint,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,malformed_table_fragment,false,false,Page/table fragment does not directly support labour constraint.
v032-unseen-015,ee03-cmi-0000026172-23-000005,"Our research and development programs are focused on product improvements, product extensions, innovations and cost reductions for our customers.",cost_reduction,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,third_party_context,false,false,R&D cost reductions are benefits for customers not company intervention.
v032-unseen-017,ee03-cmi-0000026172-23-000005,"In periods of weak demand, we may face under-utilized capacity and un-recovered overhead costs, while in periods of strong demand we may experience unplanned costs and could fail to meet customer demand.",demand_weakness,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,hypothetical_risk,false,false,Weak-demand sentence is generic conditional risk.
v032-unseen-018,ee03-cmi-0000026172-23-000005,"Despite their own engine manufacturing abilities, these customers have historically chosen to outsource certain types of engine production to us due to the quality of our engine products, our emission compliance capabilities, our systems 22 Table of Contents integration, their customers' preferences, their desire for cost reductions, their desire for eliminating production risks and their desire to maintain company focus.",cost_reduction,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,current,unknown,rejected,third_party_context,false,false,Cost reduction explains customer outsourcing decision.
v032-unseen-019,ee03-cmi-0000026172-23-000005,"The ongoing energy transition away from fossil fuels and the increased adoption of electrified powertrains in some market segments could result in lower demand for current diesel or natural gas engines and components and, over time, reduce the demand for related parts and service revenues from diesel or natural gas powertrains.",demand_weakness,unclear_requires_attribution,unresolved_in_v0_3_2,unknown,unknown,ongoing,unknown,rejected,hypothetical_risk,false,false,Energy-transition sentence describes possible future lower demand.
