document_id,workflow,reviewer_id,started_at,completed_at,elapsed_seconds,extracted_observations,accepted,corrected,rejected,missing_added,severe_corrections,notes
ee03-aapl-0000320193-23-000106,human_first,,,,,,,,,,,
ee03-aapl-0000320193-24-000081,piotw_first_review_burden_only,,,,,,,,,,,
ee03-alb-0000915913-23-000039,human_first,,,,,,,,,,,
ee03-alb-0000915913-24-000156,piotw_first_review_burden_only,,,,,,,,,,,
ee03-amd-0000002488-23-000047,human_first,,,,,,,,,,,
ee03-amd-0000002488-24-000163,piotw_first_review_burden_only,,,,,,,,,,,
ee03-ba-0000012927-23-000007,human_first,,,,,,,,,,,
ee03-ba-0000012927-24-000082,piotw_first_review_burden_only,,,,,,,,,,,
ee03-cat-0000018230-23-000011,human_first,,,,,,,,,,,
ee03-cat-0000018230-24-000053,piotw_first_review_burden_only,,,,,,,,,,,
ee03-clf-0000764065-23-000032,human_first,,,,,,,,,,,
ee03-clf-0000764065-24-000202,piotw_first_review_burden_only,,,,,,,,,,,
ee03-cmi-0000026172-23-000005,human_first,,,,,,,,,,,
ee03-cmi-0000026172-24-000043,piotw_first_review_burden_only,,,,,,,,,,,
ee03-de-0001558370-23-019812,human_first,,,,,,,,,,,
ee03-de-0001558370-24-012529,piotw_first_review_burden_only,,,,,,,,,,,
ee03-dell-0001571996-23-000007,human_first,,,,,,,,,,,
ee03-dell-0001571996-24-000130,piotw_first_review_burden_only,,,,,,,,,,,
ee03-dow-0001751788-23-000014,human_first,,,,,,,,,,,
ee03-dow-0001751788-24-000147,piotw_first_review_burden_only,,,,,,,,,,,
ee03-emn-0000915389-23-000015,human_first,,,,,,,,,,,
ee03-emn-0000915389-24-000225,piotw_first_review_burden_only,,,,,,,,,,,
ee03-etn-0001551182-23-000004,human_first,,,,,,,,,,,
ee03-etn-0001551182-24-000038,piotw_first_review_burden_only,,,,,,,,,,,
ee03-f-0000037996-23-000012,human_first,,,,,,,,,,,
ee03-f-0000037996-24-000185,piotw_first_review_burden_only,,,,,,,,,,,
ee03-fdx-0000950170-23-033201,human_first,,,,,,,,,,,
ee03-fdx-0000950170-24-138460,piotw_first_review_burden_only,,,,,,,,,,,
ee03-ge-0000040545-23-000023,human_first,,,,,,,,,,,
ee03-ge-0000040545-24-000200,piotw_first_review_burden_only,,,,,,,,,,,
