case_id,benchmark_version,document_id,source_span,piotw_proposed_event,diagnostic_expected_classification,expected_context_status,failure_class,formal_gold,admissible_for_model2_gate,notes
event-001,0.3.1,ee03-aapl-0000320193-23-000106,many components used by the Company ... are at times subject to industry-wide shortage and significant commodity pricing fluctuations,supply_chain_constraint,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-002,0.3.1,ee03-aapl-0000320193-23-000106,aggressive price competition and resulting downward pressure on gross margins,margin_pressure,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-003,0.3.1,ee03-aapl-0000320193-24-000081,Year-over-year Greater China net sales decreased during the first nine months of 2024 due primarily to lower net sales of iPhone and iPad.,demand_weakness,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-004,0.3.1,ee03-aapl-0000320193-24-000081,Services net sales increased during the third quarter and first nine months of 2024 ...,growth_language,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-005,0.3.1,ee03-alb-0000915913-23-000039,"In particular, the market for lithium battery and energy storage, particularly for electric vehicles (“EVs”), remains strong, providing the opportunity to continue to develop high quality and innovative products while managing the high cost of expanding capacity.",capacity_expansion,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-006,0.3.1,ee03-alb-0000915913-23-000039,"we expect our capital expenditures to be between $1.7 billion and $1.9 billion in 2023, primarily for Energy Storage",major_investment,accepted,planned,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-007,0.3.1,ee03-alb-0000915913-24-000156,"issued a press release reporting its results for the third quarter ended September 30, 2024. A copy of this release is being furnished as Exhibit 99.1",,ambiguous,requires_human_adjudication,incomplete_source,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-008,0.3.1,ee03-ba-0000012927-23-000007,"During 2022, commercial services volume at BGS recovered to pre-pandemic levels.",recovery,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-009,0.3.1,ee03-ba-0000012927-23-000007,"This market environment has resulted in intense pressures on pricing, and we expect these pressures to continue or intensify",margin_pressure,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-010,0.3.1,ee03-ba-0000012927-23-000007,"BGS total backlog ... decreased by 6% from $20,496 million at December 31, 2021",demand_weakness,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-011,0.3.1,ee03-ba-0000012927-24-000082,"Commercial airplane cash outflows reflect slowed and/or paused production and lower deliveries as a result of ongoing safety and quality improvement actions ... supply chain constraints, and the ongoing work stoppage",operational_disruption,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-012,0.3.1,ee03-ba-0000012927-24-000082,the ongoing work stoppage ... has paused production of certain commercial aircraft models ... and is also significantly reducing aircraft deliveries,labour_constraint,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-013,0.3.1,ee03-ba-0000012927-24-000082,"on October 11, 2024, we announced that we plan to reduce the size of our total workforce by roughly 10 percent",redundancy,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-014,0.3.1,ee03-ba-0000012927-24-000082,We are reducing discretionary spending as well as reducing or deferring non-essential capital expenditures.,cost_reduction,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-015,0.3.1,ee03-ba-0000012927-24-000082,Moody’s downgraded our short term and long term credit ratings to Baa3/P-3 ... Moody's and S&P placed our ratings on review for downgrade,liquidity_concern,accepted,current_or_ongoing,synonym_or_phrase_structure_missing,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-016,0.3.1,ee03-ba-0000012927-24-000082,"Financing Commitments Financing commitments related to aircraft on order, including options and those proposed in sales campaigns, and refinancing of delivered aircraft, totaled $ 17,379 and $ 17,003 as of September 30, 2024 and December 31, 2023.",refinancing,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-017,0.3.1,ee03-ba-0000012927-24-000082,"During the first quarter of 2024, we increased the reach-forward loss by $ 128 , primarily due to factory disruption associated with supply chain constraints.",supply_chain_constraint,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-018,0.3.1,ee03-ba-0000012927-24-000082,"During the second quarter of 2024, we increased the reach-forward loss on the contract by $ 391 , primarily reflecting higher than anticipated factory disruption, including supply chain constraints and parts shortages.",supply_chain_constraint,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-019,0.3.1,ee03-ba-0000012927-24-000082,We will be initiating final assembly operations at our new facility at Mid-America St.,new_facility,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-020,0.3.1,ee03-ba-0000012927-24-000082,"44 Table of Contents Supply Chain We and our suppliers are experiencing inflationary pressures, as well as supply chain disruptions as a result of global supply chain constraints and labor instability.",supply_chain_constraint,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-021,0.3.1,ee03-ba-0000012927-24-000082,"787 Program During the first quarter of 2024, we disclosed that we were slowing near-term production to below 5 per month due to supply chain constraints.",supply_chain_constraint,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-022,0.3.1,ee03-ba-0000012927-24-000082,The program continues to experience supply chain constraints and production issues.,supply_chain_constraint,ambiguous,requires_human_adjudication,unadjudicated_plausible_ai_omission,false,false,Frozen AI-assisted development diagnostic; not independent truth.
event-023,0.3.1,ee03-ba-0000012927-24-000082,"If we continue to require cash to fund our operations or require additional funding in order to pay off existing debt, address further impacts to our business related to the strike by IAM 751 or market developments, fund outstanding financing commitments or meet other business requirements, we may need to refinance or restructure our debt, reduce or delay capital investments, or seek to raise additional capital including through the issuance of equity or equity-linked securities, and these activities could have terms that are unfavorable or could be dilutive.",restructuring,rejected,hypothetical_or_irrelevant,hypothetical_risk,false,false,Frozen AI-assisted development diagnostic; not independent truth.
