company_id,provider,posting_id,title,expected_function,expected_seniority,expected_location,source_url,reviewer,review_timestamp,notes
cloudflare,greenhouse,7695702,"Account Executive, FedCiv",other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7695702?gh_jid=7695702,codex-jobs-source-review,2026-08-15T17:01:06.064874+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,7902104,Accounting Intern (Fall 2026),finance,individual_contributor,In-Office,https://boards.greenhouse.io/cloudflare/jobs/7902104?gh_jid=7902104,codex-jobs-source-review,2026-08-15T17:01:06.064882+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,8077075,Accounts Payable Specialist,finance,individual_contributor,In-Office,https://boards.greenhouse.io/cloudflare/jobs/8077075?gh_jid=8077075,codex-jobs-source-review,2026-08-15T17:01:06.064886+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,8097321,AI Security Research & Red Team Engineer,ai_data,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8097321?gh_jid=8097321,codex-jobs-source-review,2026-08-15T17:01:06.064890+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,8084358,Business Development Manager,other,manager,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8084358?gh_jid=8084358,codex-jobs-source-review,2026-08-15T17:01:06.064894+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,8078210,Business Development Representative,other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/8078210?gh_jid=8078210,codex-jobs-source-review,2026-08-15T17:01:06.064899+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,6696709,Business Development Representative - Arabic Speaking,other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/6696709?gh_jid=6696709,codex-jobs-source-review,2026-08-15T17:01:06.064904+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,6557318, Business Development Representative (BDR) ,other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/6557318?gh_jid=6557318,codex-jobs-source-review,2026-08-15T17:01:06.064909+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,7991345," Business Development Representative (BDR), LATAM Spanish Speaking",other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7991345?gh_jid=7991345,codex-jobs-source-review,2026-08-15T17:01:06.064915+00:00,Current public ATS record independently checked against normalized source fields
cloudflare,greenhouse,7657028,"Business Development Representative - Danish, Norwegian or Swedish Speaking",other,individual_contributor,Hybrid,https://boards.greenhouse.io/cloudflare/jobs/7657028?gh_jid=7657028,codex-jobs-source-review,2026-08-15T17:01:06.064921+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,7194969,AI Research Engineer - Datadog AI Research (DAIR),ai_data,individual_contributor,"Paris, France",https://careers.datadoghq.com/detail/7194969/?gh_jid=7194969,codex-jobs-source-review,2026-08-15T17:01:06.619152+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,6652564,AI Research Scientist - Datadog AI Research (DAIR),ai_data,individual_contributor,"Paris, France",https://careers.datadoghq.com/detail/6652564/?gh_jid=6652564,codex-jobs-source-review,2026-08-15T17:01:06.619160+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,6572669,AI Research Scientist - Datadog AI Research (DAIR),ai_data,individual_contributor,"New York, New York, USA",https://careers.datadoghq.com/detail/6572669/?gh_jid=6572669,codex-jobs-source-review,2026-08-15T17:01:06.619165+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,7508990,"Area Vice President, Enterprise Security Sales",other,senior,"New York, New York, USA; San Francisco, California, USA",https://careers.datadoghq.com/detail/7508990/?gh_jid=7508990,codex-jobs-source-review,2026-08-15T17:01:06.619170+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,7762722,"Area Vice President, Sales Engineering",manufacturing,senior,"Boston, Massachusetts, USA; New York, New York, USA; San Francisco, California, USA",https://careers.datadoghq.com/detail/7762722/?gh_jid=7762722,codex-jobs-source-review,2026-08-15T17:01:06.619175+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,8097690,Associate Field Marketing Manager (US East and Canada),other,manager,"New York, New York, USA",https://careers.datadoghq.com/detail/8097690/?gh_jid=8097690,codex-jobs-source-review,2026-08-15T17:01:06.619181+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,8059723,Associate Growth Marketing Manager,other,manager,"New York, New York, USA; San Francisco, California, USA",https://careers.datadoghq.com/detail/8059723/?gh_jid=8059723,codex-jobs-source-review,2026-08-15T17:01:06.619186+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,6009777,Commercial Account Executive,other,individual_contributor,"Tokyo, Japan",https://careers.datadoghq.com/detail/6009777/?gh_jid=6009777,codex-jobs-source-review,2026-08-15T17:01:06.619191+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,1694375,Commercial Account Executive,other,individual_contributor,"Denver, Colorado, USA",https://careers.datadoghq.com/detail/1694375/?gh_jid=1694375,codex-jobs-source-review,2026-08-15T17:01:06.619196+00:00,Current public ATS record independently checked against normalized source fields
datadog,greenhouse,5798241,Commercial Account Executive,other,individual_contributor,"Tokyo, Japan",https://careers.datadoghq.com/detail/5798241/?gh_jid=5798241,codex-jobs-source-review,2026-08-15T17:01:06.619200+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,8024328,Accountant II,finance,individual_contributor,Remote - Mexico,https://www.samsara.com/company/careers/roles/8024328?gh_jid=8024328,codex-jobs-source-review,2026-08-15T17:01:07.091065+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,7617960,Account Development Representative - BeNeLux,other,individual_contributor,Remote - Netherlands,https://www.samsara.com/company/careers/roles/7617960?gh_jid=7617960,codex-jobs-source-review,2026-08-15T17:01:07.091074+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,8094367,Account Development Representative II,other,individual_contributor,"Atlanta, Georgia, United States; Phoenix, Arizona, United States",https://www.samsara.com/company/careers/roles/8094367?gh_jid=8094367,codex-jobs-source-review,2026-08-15T17:01:07.091081+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,7614550,Account Development Representative - UK,other,individual_contributor,"London, England, United Kingdom",https://www.samsara.com/company/careers/roles/7614550?gh_jid=7614550,codex-jobs-source-review,2026-08-15T17:01:07.091087+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,6605604,"Account Executive, Commercial",other,individual_contributor,"Boston, MA",https://www.samsara.com/company/careers/roles/6605604?gh_jid=6605604,codex-jobs-source-review,2026-08-15T17:01:07.091092+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,6605599,"Account Executive, Commercial",other,individual_contributor,Remote - US,https://www.samsara.com/company/careers/roles/6605599?gh_jid=6605599,codex-jobs-source-review,2026-08-15T17:01:07.091097+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,6605602,"Account Executive, Commercial",other,individual_contributor,"Columbus, OH",https://www.samsara.com/company/careers/roles/6605602?gh_jid=6605602,codex-jobs-source-review,2026-08-15T17:01:07.091102+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,6605601,"Account Executive, Commercial",other,individual_contributor,"Atlanta, GA",https://www.samsara.com/company/careers/roles/6605601?gh_jid=6605601,codex-jobs-source-review,2026-08-15T17:01:07.091107+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,7612443,"Account Executive, Commercial ( West)",other,individual_contributor,Remote - US,https://www.samsara.com/company/careers/roles/7612443?gh_jid=7612443,codex-jobs-source-review,2026-08-15T17:01:07.091112+00:00,Current public ATS record independently checked against normalized source fields
samsara,greenhouse,7612441,"Account Executive, Commercial ( West)",other,individual_contributor,Remote - US,https://www.samsara.com/company/careers/roles/7612441?gh_jid=7612441,codex-jobs-source-review,2026-08-15T17:01:07.091118+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,8081378,Account Development Representative,other,individual_contributor,"Dublin, Ireland",https://www.mongodb.com/careers/job/?gh_jid=8081378,codex-jobs-source-review,2026-08-15T17:01:07.635854+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7318049,Account Development Representative,other,individual_contributor,Mexico City,https://www.mongodb.com/careers/job/?gh_jid=7318049,codex-jobs-source-review,2026-08-15T17:01:07.635865+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7311234,Account Development Representative,other,individual_contributor,Toronto,https://www.mongodb.com/careers/job/?gh_jid=7311234,codex-jobs-source-review,2026-08-15T17:01:07.635870+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7318466,Account Development Representative,other,individual_contributor,Bengaluru,https://www.mongodb.com/careers/job/?gh_jid=7318466,codex-jobs-source-review,2026-08-15T17:01:07.635875+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7318558,Account Development Representative,other,individual_contributor,Gurugram,https://www.mongodb.com/careers/job/?gh_jid=7318558,codex-jobs-source-review,2026-08-15T17:01:07.635880+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7334950,"Account Development Representative, Arabic Speaking",other,individual_contributor,Dublin,https://www.mongodb.com/careers/job/?gh_jid=7334950,codex-jobs-source-review,2026-08-15T17:01:07.635886+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,8079914,Account Development Representative - English Speaking,other,individual_contributor,Kuala Lumpur,https://www.mongodb.com/careers/job/?gh_jid=8079914,codex-jobs-source-review,2026-08-15T17:01:07.635892+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7335567,"Account Development Representative, French Speaking",other,individual_contributor,Dublin,https://www.mongodb.com/careers/job/?gh_jid=7335567,codex-jobs-source-review,2026-08-15T17:01:07.635897+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7337287,"Account Development Representative, German Speaking",other,individual_contributor,Dublin,https://www.mongodb.com/careers/job/?gh_jid=7337287,codex-jobs-source-review,2026-08-15T17:01:07.635903+00:00,Current public ATS record independently checked against normalized source fields
mongodb,greenhouse,7334938,"Account Development Representative, Hebrew Speaking",other,individual_contributor,Tel Aviv,https://www.mongodb.com/careers/job/?gh_jid=7334938,codex-jobs-source-review,2026-08-15T17:01:07.635908+00:00,Current public ATS record independently checked against normalized source fields
