prediction_id,ticker,cutoff,window_end,outcome_status,occurred,outcome_date,source_title,source_url,resolution_note,exclusion_applied,review_status
rv-SNR-2021-12-31-restructuring-rules-1.0.0,SNR,2021-12-31,2022-12-31,negative,0,,Senior 2022 results and reports archive,https://www.seniorplc.com/investors/reports.aspx,"Full-window archive and first post-window results review found no distinct qualifying programme.","The 2019-20 restructuring programme and its residual costs were continuations.",single_researcher_primary_archive
rv-SNR-2022-12-31-restructuring-rules-1.0.0,SNR,2022-12-31,2023-12-31,negative,0,,Senior 2023 Annual Results,https://www.seniorplc.com/investors/reports.aspx,"The report records residual restructuring costs but no newly announced qualifying programme in the window.","Residual actions were attributed to the programme begun in 2019-20.",single_researcher_primary_archive
rv-CHRT-2021-12-31-restructuring-rules-1.0.0,CHRT,2021-12-31,2022-12-31,negative,0,,Cohort results reports and presentations archive,https://www.cohortplc.com/investors/results-reports-presentations,"Full-window archive and first post-window results review found no qualifying announcement.",,single_researcher_primary_archive
rv-CHRT-2022-12-31-restructuring-rules-1.0.0,CHRT,2022-12-31,2023-12-31,negative,0,,Cohort results reports and presentations archive,https://www.cohortplc.com/investors/results-reports-presentations,"Full-window archive and first post-window results review found no qualifying announcement.",,single_researcher_primary_archive
rv-MRO-2021-12-31-restructuring-rules-1.0.0,MRO,2021-12-31,2022-12-31,negative,0,,Melrose 2022 results archive,https://www.melroseplc.net/investors/results-reports-and-presentations/,"Restructuring activity was reported but no distinct previously unannounced programme qualified.","Continuing GKN programmes disclosed before cutoff were excluded.",single_researcher_primary_archive
rv-MRO-2022-12-31-restructuring-rules-1.0.0,MRO,2022-12-31,2023-12-31,negative,0,,Melrose Annual Report 2023,https://www.melroseplc.net/media/uk2n4jj0/melrose-annual-report-2023.pdf,"Plant closures and corporate changes in 2023 implemented strategies or programmes already public before cutoff; no distinct surprise met the contract.","Continuing GKN restructuring and the announced automotive demerger were excluded.",single_researcher_primary_archive
rv-ELM-2021-12-31-restructuring-rules-1.0.0,ELM,2021-12-31,2022-12-31,negative,0,,Elementis results reports and presentations archive,https://www.elementis.com/investors/investor-information/results-reports-and-presentations/,"Full-window archive and first post-window results review found no distinct qualifying programme.","Previously disclosed efficiency savings and the Chromium portfolio action were excluded.",single_researcher_primary_archive
rv-ELM-2022-12-31-restructuring-rules-1.0.0,ELM,2022-12-31,2023-12-31,positive,1,2023-09-30,Elementis preliminary results 2023,https://www.investegate.co.uk/index.php/announcement/rns/elementis--elm/preliminary-results-year-ended-31-december-2023/8075136,"Fit for the Future was announced in September 2023 with about 190 redundancies and quantified recurring savings; month-only timing is represented by month end.","The pre-cutoff Chromium sale was excluded; this was a distinct operating programme.",single_researcher_regulated_mirror
rv-CRPR-2021-12-31-restructuring-rules-1.0.0,CRPR,2021-12-31,2022-12-31,negative,0,,James Cropper announcements and briefings archive,https://jamescropper.com/announcements-and-briefings/,"Full-window archive and first post-window results review found no qualifying programme.","Pandemic-era actions announced before cutoff were excluded.",single_researcher_primary_archive
rv-CRPR-2022-12-31-restructuring-rules-1.0.0,CRPR,2022-12-31,2023-12-31,positive,1,2023-04-19,James Cropper full year results,https://www.investegate.co.uk/announcement/rns/cropper-james---crpr/full-year-results/8324504,"The Paper division restructuring reduced machine capacity and initiated redundancies affecting about 15% of the group workforce.",,single_researcher_regulated_mirror
