document_id,reviewer_free_text_label,mapped_event_type,label_status,source_page_section,exact_evidence_span,reviewer_id,annotation_timestamp,ambiguity_flag,notes
ee03-aapl-0000320193-23-000106,Management describes industry-wide component shortages and commodity pricing fluctuations as recurring supply conditions.,supply_chain_constraint,positive,PDF p6 — Supply of Components,many components used by the Company ... are at times subject to industry-wide shortage and significant commodity pricing fluctuations,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,"Condition is described as recurring/current, not merely a hypothetical future risk."
ee03-aapl-0000320193-23-000106,Competitive pricing creates downward pressure on gross margins.,margin_pressure,positive,PDF p5 — Competition,aggressive price competition and resulting downward pressure on gross margins,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Operational/market condition rather than a quantified company margin decline.
ee03-aapl-0000320193-24-000081,"Greater China sales declined year over year, driven mainly by lower iPhone and iPad sales.",demand_weakness,positive,PDF p19 — Segment Operating Performance,Year-over-year Greater China net sales decreased during the first nine months of 2024 due primarily to lower net sales of iPhone and iPad.,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Geographically contained weakness; does not imply group-wide demand decline.
ee03-aapl-0000320193-24-000081,Services sales grew materially year over year.,growth,positive,PDF p20 — Products and Services Performance,Services net sales increased during the third quarter and first nine months of 2024 ...,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Contrary/strength condition.
ee03-alb-0000915913-23-000039,"Company describes substantial investment in new or expanded equipment, facilities and properties.",capacity_expansion,positive,PDF p26 — Capital Expenditures,"Our capital expenditures generally consist of ... substantial investments in new or expanded equipment, facilities and properties.",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Expansion/investment condition.
ee03-alb-0000915913-23-000039,"Company expected 2023 capital expenditure of $1.7bn-$1.9bn, primarily for Energy Storage.",investment,positive,PDF p102 — Capital Expenditures,"we expect our capital expenditures to be between $1.7 billion and $1.9 billion in 2023, primarily for Energy Storage",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Forward investment commitment explicitly stated.
ee03-alb-0000915913-24-000156,The supplied 8-K wrapper announces Q3 2024 results but does not contain the referenced Exhibit 99.1 press release in the reviewer PDF.,,ambiguous,PDF p2 — Item 2.02 Results of Operations and Financial Condition,"issued a press release reporting its results for the third quarter ended September 30, 2024. A copy of this release is being furnished as Exhibit 99.1",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,yes,No financial/event facts from the absent exhibit were inferred.
ee03-ba-0000012927-23-000007,Commercial services recovered to pre-pandemic levels.,recovery,positive,PDF p49 — Global Services / Business Environment and Trends,"During 2022, commercial services volume at BGS recovered to pre-pandemic levels.",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Strength/recovery condition.
ee03-ba-0000012927-23-000007,Pricing pressure in aviation services was intense and expected to continue.,margin_pressure,positive,PDF p50 — Industry Competitiveness,"This market environment has resulted in intense pressures on pricing, and we expect these pressures to continue or intensify",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,
ee03-ba-0000012927-23-000007,Backlog in Global Services declined 6% year over year.,demand_weakness,positive,PDF p52 — Backlog,"BGS total backlog ... decreased by 6% from $20,496 million at December 31, 2021",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,yes,Backlog decline is factual; mapping to demand weakness is interpretive and therefore flagged ambiguous.
ee03-ba-0000012927-24-000082,"Commercial airplane production and deliveries were slowed or paused by safety/quality actions, supply-chain constraints and an IAM work stoppage.",operational_disruption,positive,PDF p71 — Liquidity and Capital Resources,"Commercial airplane cash outflows reflect slowed and/or paused production and lower deliveries as a result of ongoing safety and quality improvement actions ... supply chain constraints, and the ongoing work stoppage",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,
ee03-ba-0000012927-24-000082,IAM 751 work stoppage paused production of several aircraft models and reduced deliveries.,labour_constraint,positive,PDF p73 — Capital Resources,the ongoing work stoppage ... has paused production of certain commercial aircraft models ... and is also significantly reducing aircraft deliveries,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,
ee03-ba-0000012927-24-000082,Company announced a plan to reduce its total workforce by roughly 10%.,workforce_reduction,positive,PDF p15 — Liquidity Matters,"on October 11, 2024, we announced that we plan to reduce the size of our total workforce by roughly 10 percent",openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,Explicit announced workforce reduction.
ee03-ba-0000012927-24-000082,Company reduced discretionary spending and deferred non-essential capital expenditure amid the work stoppage.,cost_reduction,positive,PDF p15 — Liquidity Matters,We are reducing discretionary spending as well as reducing or deferring non-essential capital expenditures.,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,
ee03-ba-0000012927-24-000082,Credit ratings were downgraded / placed on review and additional liquidity facilities were arranged.,liquidity_concern,positive,PDF p73 — Capital Resources,Moody’s downgraded our short term and long term credit ratings to Baa3/P-3 ... Moody's and S&P placed our ratings on review for downgrade,openai-gpt-5.6-sol-finops-first-pass,2026-08-15T20:03:00+01:00,no,"Liquidity remained available, so this is concern rather than insolvency."

