document_id,company,ticker,cik,report_type,form,publication_date,reporting_period,source_url,local_artifact,sha256,difficulty_flags,difficulty_class,development_partition_status
ee02-aapl-0000320193-23-000106,Apple Inc.,AAPL,0000320193,annual_report,10-K,2023-11-03,2023-09-30,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/aapl-20230930.htm,data/evidence_engine_v0_2/raw/aapl/ee02-aapl-0000320193-23-000106.html,bda1f34435199672c16ecdf2034c650872d2cac8399ed0d179fc25450b080b90,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-aapl-0000320193-24-000081,Apple Inc.,AAPL,0000320193,interim_report,10-Q,2024-08-02,2024-06-29,https://www.sec.gov/Archives/edgar/data/320193/000032019324000081/aapl-20240629.htm,data/evidence_engine_v0_2/raw/aapl/ee02-aapl-0000320193-24-000081.html,85113c39b6f1cbeea1cde2848d3c8e3beb5e0b86de06ac593011a7780c880026,dense_tables|adjusted_and_statutory|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values,difficult,external_us_development_no_outcomes
ee02-aapl-0000320193-24-000123,Apple Inc.,AAPL,0000320193,annual_report,10-K,2024-11-01,2024-09-28,https://www.sec.gov/Archives/edgar/data/320193/000032019324000123/aapl-20240928.htm,data/evidence_engine_v0_2/raw/aapl/ee02-aapl-0000320193-24-000123.html,24a830a0f1256e371d36a1f7f72e5e85a38037d1de2f6f966eb8457db42ff6d6,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-alb-0000915913-23-000039,ALBEMARLE CORP,ALB,0000915913,annual_report,10-K,2023-02-15,2022-12-31,https://www.sec.gov/Archives/edgar/data/915913/000091591323000039/alb-20221231.htm,data/evidence_engine_v0_2/raw/alb/ee02-alb-0000915913-23-000039.html,927df68d21161e14c9438617dd8a18a30d1cfe788eb8293104cdc48bceaad046,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-alb-0000915913-24-000016,ALBEMARLE CORP,ALB,0000915913,annual_report,10-K,2024-02-15,2023-12-31,https://www.sec.gov/Archives/edgar/data/915913/000091591324000016/alb-20231231.htm,data/evidence_engine_v0_2/raw/alb/ee02-alb-0000915913-24-000016.html,85deca20b624fffe014de0809ac89b302fb1917cca9addca54ae0933b5dec276,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|discontinued_operations|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-alb-0000915913-24-000156,ALBEMARLE CORP,ALB,0000915913,regulatory_results_announcement,8-K,2024-11-06,2024-11-06,https://www.sec.gov/Archives/edgar/data/915913/000091591324000156/alb-20241106.htm,data/evidence_engine_v0_2/raw/alb/ee02-alb-0000915913-24-000156.html,0272b7d92d3f069ff38be174315fc38d74274e1f033470deb3d7a4ba8f498a73,,ordinary,external_us_development_no_outcomes
ee02-amd-0000002488-23-000047,ADVANCED MICRO DEVICES INC,AMD,0000002488,annual_report,10-K,2023-02-27,2022-12-31,https://www.sec.gov/Archives/edgar/data/2488/000000248823000047/amd-20221231.htm,data/evidence_engine_v0_2/raw/amd/ee02-amd-0000002488-23-000047.html,df0ad96c282b7eab4c3387bc2ef772350004e37be21805622ab8503b5db02acd,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-amd-0000002488-24-000012,ADVANCED MICRO DEVICES INC,AMD,0000002488,annual_report,10-K,2024-01-31,2023-12-30,https://www.sec.gov/Archives/edgar/data/2488/000000248824000012/amd-20231230.htm,data/evidence_engine_v0_2/raw/amd/ee02-amd-0000002488-24-000012.html,0e9d83bd98b81b70050a88635171e721488f783eada9686fe21d6919ee1b668e,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
ee02-amd-0000002488-24-000163,ADVANCED MICRO DEVICES INC,AMD,0000002488,interim_report,10-Q,2024-10-30,2024-09-28,https://www.sec.gov/Archives/edgar/data/2488/000000248824000163/amd-20240928.htm,data/evidence_engine_v0_2/raw/amd/ee02-amd-0000002488-24-000163.html,dbe1496f2752c51a4825f55c44203b16b90fdeb3aaf7f7e290c6cc6e56040052,dense_tables|adjusted_and_statutory|multiple_currencies|acquisition_or_disposal|negative_bracketed_values|duplicated_narrative_values,difficult,external_us_development_no_outcomes
ee02-ba-0000012927-23-000007,BOEING CO,BA,0000012927,annual_report,10-K,2023-01-27,2022-12-31,https://www.sec.gov/Archives/edgar/data/12927/000001292723000007/ba-20221231.htm,data/evidence_engine_v0_2/raw/ba/ee02-ba-0000012927-23-000007.html,1ae4a90bf95ab690394210b6d9d8695cf2fc3c35c599b35c7e0fc43ffb1b4440,dense_tables|adjusted_and_statutory|restated_prior_year|multiple_currencies|acquisition_or_disposal|segment_reorganisation|negative_bracketed_values|multiple_unit_scales|duplicated_narrative_values|embedded_multi_page_tables,difficult,external_us_development_no_outcomes
