evidence_id,company,ticker,cutoff,available_at,source_title,source_url,observation,pressure_language,margin_pressure,cash_pressure,contrary_strength,already_announced_exclusion,review_status
rv-SNR-2021,Senior,SNR,2021-12-31,2021-08-02,2021 Interim Results,https://www.seniorplc.com/~/media/Files/S/Senior-PLC/reports-and-presentations/2021-interim-results-presentation.pdf,"Recovery remained early after the 2019-20 restructuring; the operating model stressed competitiveness and cost control, while improving demand and liquidity were contrary evidence.",0.55,0.65,0.35,0.45,"2019-20 restructuring programme",manual_primary_source
rv-SNR-2022,Senior,SNR,2022-12-31,2022-08-01,2022 Interim Results,https://www.seniorplc.com/investors/reports.aspx,"Profitability and demand were recovering and cash generation remained positive; completed restructuring benefits were already visible and are excluded as a future outcome.",0.25,0.25,0.20,0.75,"previously disclosed restructuring",manual_primary_source
rv-CHRT-2021,Cohort,CHRT,2021-12-31,2021-12-14,Half Year Results 2021,https://www.cohortplc.com/investors/results-reports-presentations,"Cohort reported materially lower profitability and performance below market expectations at Chess and EID, despite strong order intake and an improved cash position.",0.35,0.85,0.10,0.55,"",manual_primary_source
rv-CHRT-2022,Cohort,CHRT,2022-12-31,2022-12-14,Interim Results FY22/23,https://www.cohortplc.com/investors/results-reports-presentations,"The half-year disclosure showed recovery from the prior-year weakness, supported by defence order visibility and balance-sheet capacity; residual delivery pressure remained.",0.20,0.25,0.15,0.75,"",manual_primary_source
rv-MRO-2021,Melrose Industries,MRO,2021-12-31,2021-09-02,2021 Half Year Results,https://www.melroseplc.net/media/44eickzp/melrose-2021-half-year-results-announcement.pdf,"The group was still investing heavily in restructuring across acquired businesses, but margins, earnings, free cash flow and leverage were improving. Existing programmes are excluded from the future label.",0.55,0.35,0.30,0.70,"GKN restructuring already disclosed",manual_primary_source
rv-MRO-2022,Melrose Industries,MRO,2022-12-31,2022-09-08,2022 Half Year Results,https://www.melroseplc.net/investors/results-reports-and-presentations/,"Aerospace and automotive operations faced inflation and supply constraints while restructuring expenditure continued; trading and cash generation provided material contrary evidence. Existing programmes are excluded.",0.60,0.40,0.40,0.60,"continuing GKN restructuring already disclosed",manual_primary_source
rv-ELM-2021,Elementis,ELM,2021-12-31,2021-07-29,2021 Interim Results Statement,https://www.elementis.com/fileadmin/elementis/Investor_Relations/Investor_Information/Results_Reports_Presentations/Reports_and_Presentations/2021/FY_21_Interims_-_Draft_28.07.21_final_SIGNED_0.pdf,"Elementis was pursuing $10m of underlying savings and warned of inflation and supply-chain margin headwinds, but revenue, operating profit, margin and leverage were improving.",0.40,0.35,0.25,0.80,"2021 efficiency savings already disclosed",manual_primary_source
rv-ELM-2022,Elementis,ELM,2022-12-31,2022-07-28,2022 Interim Results Statement,https://www.elementis.com/investors/investor-information/results-reports-and-presentations/,"Pricing and self-help supported performance against inflation, while leverage and portfolio actions remained important; the disclosed chromium disposal is ordinary portfolio evidence, not a restructuring outcome.",0.35,0.40,0.35,0.60,"Chromium sale disclosed before cutoff",manual_primary_source
rv-CRPR-2021,James Cropper,CRPR,2021-12-31,2021-11-09,Half-year results to 25 September 2021,https://jamescropper.com/wp-content/uploads/2024/07/Interim-statement-Sept-2021-Final.pdf,"Revenue and adjusted profit rebounded strongly, liquidity exceeded £15m and capacity investment restarted; no material pressure programme was described.",0.05,0.05,0.10,0.95,"",manual_primary_source
rv-CRPR-2022,James Cropper,CRPR,2022-12-31,2022-11-15,Half Year Results to 24 September 2022,https://jamescropper.com/wp-content/uploads/2024/07/Interim-statement-Sept-2022-Final.pdf,"Adjusted profit fell to nil as energy and raw-material inflation rose, expectations were cut materially and gearing increased, despite revenue growth and investment prospects.",0.45,0.90,0.55,0.40,"",manual_primary_source
