document_id,company,event_type,event_status,evidence_structure,period_binding,source_span,manual_sanity_classification,severe,failure_class,review_notes
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,labour_constraint,current,narrative_sentence,current_period,"Even though many other employers are facing unprecedented labor shortages, we continued to grow during 2022.",false_positive,false,third_party_context,Labour shortage describes other employers rather than the target company.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,supply_chain_constraint,current,narrative_sentence,unknown,"Automotive production and sales are cyclical and sensitive to general economic conditions and other factors, including interest rates, consumer credit, spending and preferences, and supply chain disruptions, such as the current semiconductor shortage.",false_positive,false,generic_risk,Automotive industry sensitivity list does not establish a current company constraint.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,operational_disruption,current,narrative_sentence,current_period,"Similarly, if our key vendors face financial hardship or need to operate in bankruptcy, as we have been experiencing with one of our major steel mill slag services providers since 2022, such vendors could experience operational disruption or even face liquidation, which could result in such vendor defaulting on its obligations to us or in our inability to secure replacement materials or services on a timely basis, or at all, or cause us to incur increased costs to do so.",supported,false,,Current vendor hardship is explicitly affecting a company steel mill.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,supply_chain_constraint,current,narrative_sentence,unknown,"In addition, we have experienced, and may continue to experience, supply chain disruptions or operational issues with our vendors or logistics providers, as our suppliers and contractors face similar challenges related to the COVID-19 pandemic, including as a result of new or continued pandemic lockdowns in China.",supported,false,,Company explicitly reports experienced supply-chain disruption.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,supply_chain_constraint,current,narrative_sentence,unknown,"Prices for electricity, natural gas, diesel fuel, oils and raw materials can fluctuate widely with availability and demand levels from other users, including fluctuations caused by the impact of recent inflationary pressures, supply chain constraints, the 22",false_positive,false,generic_risk,Commodity availability risk wording does not establish a current event.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,site_closure,current,narrative_sentence,unknown,"The closure of a steelmaking or other operating facility or mining operation involves significant closure costs, including reclamation and other environmental costs, the costs of terminating long-term obligations, including customer, energy and transportation contracts and equipment and real property leases, costs associated with the altered tax profile of an idled or closed facility, and certain accounting charges, including asset impairment and accelerated depreciation.",false_positive,false,accounting_or_definition,Facility-closure cost definition does not report a closure event.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,redundancy,current,narrative_sentence,unknown,"Cliffs maintains exploration drill hole data in an externally-managed, access-controlled acQuire database that is backed up online at regularly scheduled intervals to provide data redundancy and security.",false_positive,false,wrong_context,Database redundancy is technical resilience not workforce redundancy.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,demand_weakness,current,list_bullet,unknown,"• These increases were partially offset by a decrease in the distributors and converters market of $1,283 million, or 17%, predominantly due to service center destocking, interest rate hikes driving caution on new business and pricing for metallics declining, which caused weaker demand from service centers for our steel products and large declines in spot steel pricing.",supported,false,,Actual market decrease is stated.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,demand_weakness,current,narrative_sentence,current_period,"GROSS MARGIN Gross margin decreased by $2,053 million, or 45%, during the year ended December 31, 2022, as compared to the prior-year, primarily due to: • Increased costs of production (approximately $3.6 billion impact) driven by higher raw materials and utility costs, including natural gas, coal, coke, alloys and scrap, coupled with increased investment in maintenance and labor costs; and • A decrease in sales volumes (approximately $700 million impact) predominantly driven by lower shipments to the distributors and converters end market due to weaker demand.",supported,false,,Actual lower demand contributing to margin decrease is stated.
ee03-clf-0000764065-23-000032,CLEVELAND-CLIFFS INC.,labour_constraint,current,table_row,current_period,"CLF 2022 FORM 10-K Table of Contents • unanticipated or higher costs associated with pension and OPEB obligations resulting from changes in the value of plan assets or contribution increases required for unfunded obligations; • uncertain availability or cost of skilled workers to fill critical operational positions and potential labor shortages caused by experienced employee attrition or otherwise, as well as our ability to attract, hire, develop and retain key personnel; • the amount and timing of any repurchases of our common shares; and • potential significant deficiencies or material weaknesses in our internal control over financial reporting.",false_positive,false,malformed_table_fragment,Page/table fragment does not directly support labour constraint.
