comparison_id,document_id,ai_original_event_type,ai_normalized_event_type,ai_label_status,ai_source_page_section,ai_exact_evidence_span,ai_ambiguity_flag,classification,piotw_event_type,piotw_evidence_span,evidence_similarity,severe,root_cause,diagnosis
event-001,ee03-aapl-0000320193-23-000106,supply_chain_constraint,supply_chain_constraint,positive,PDF p6 — Supply of Components,many components used by the Company ... are at times subject to industry-wide shortage and significant commodity pricing fluctuations,no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-002,ee03-aapl-0000320193-23-000106,margin_pressure,margin_pressure,positive,PDF p5 — Competition,aggressive price competition and resulting downward pressure on gross margins,no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-003,ee03-aapl-0000320193-24-000081,demand_weakness,demand_weakness,positive,PDF p19 — Segment Operating Performance,Year-over-year Greater China net sales decreased during the first nine months of 2024 due primarily to lower net sales of iPhone and iPad.,no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-004,ee03-aapl-0000320193-24-000081,growth,growth_language,positive,PDF p20 — Products and Services Performance,Services net sales increased during the third quarter and first nine months of 2024 ...,no,PIOTW_MISSED_EVENT,,,,false,taxonomy coverage gap,The deterministic event patterns did not identify this independently described condition.
event-005,ee03-alb-0000915913-23-000039,capacity_expansion,capacity_expansion,positive,PDF p26 — Capital Expenditures,"Our capital expenditures generally consist of ... substantial investments in new or expanded equipment, facilities and properties.",no,PIOTW_MISSED_EVENT,capacity_expansion,"In particular, the market for lithium battery and energy storage, particularly for electric vehicles (“EVs”), remains strong, providing the opportunity to continue to develop high quality and innovative products while managing the high cost of expanding capacity.",0.0,false,duplicate evidence or broad taxonomy,"PIOTW found a different occurrence with the same taxonomy label, but missed this cited event."
event-006,ee03-alb-0000915913-23-000039,investment,major_investment,positive,PDF p102 — Capital Expenditures,"we expect our capital expenditures to be between $1.7 billion and $1.9 billion in 2023, primarily for Energy Storage",no,PIOTW_MISSED_EVENT,,,,false,taxonomy coverage gap,The deterministic event patterns did not identify this independently described condition.
event-007,ee03-alb-0000915913-24-000156,,,ambiguous,PDF p2 — Item 2.02 Results of Operations and Financial Condition,"issued a press release reporting its results for the third quarter ended September 30, 2024. A copy of this release is being furnished as Exhibit 99.1",yes,AMBIGUOUS,,,,false,incomplete reviewer PDF,Source-pack completeness issue; not an event comparison.
event-008,ee03-ba-0000012927-23-000007,recovery,recovery,positive,PDF p49 — Global Services / Business Environment and Trends,"During 2022, commercial services volume at BGS recovered to pre-pandemic levels.",no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-009,ee03-ba-0000012927-23-000007,margin_pressure,margin_pressure,positive,PDF p50 — Industry Competitiveness,"This market environment has resulted in intense pressures on pricing, and we expect these pressures to continue or intensify",no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-010,ee03-ba-0000012927-23-000007,demand_weakness,demand_weakness,positive,PDF p52 — Backlog,"BGS total backlog ... decreased by 6% from $20,496 million at December 31, 2021",yes,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-011,ee03-ba-0000012927-24-000082,operational_disruption,operational_disruption,positive,PDF p71 — Liquidity and Capital Resources,"Commercial airplane cash outflows reflect slowed and/or paused production and lower deliveries as a result of ongoing safety and quality improvement actions ... supply chain constraints, and the ongoing work stoppage",no,PIOTW_MISSED_EVENT,,,,true,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-012,ee03-ba-0000012927-24-000082,labour_constraint,labour_constraint,positive,PDF p73 — Capital Resources,the ongoing work stoppage ... has paused production of certain commercial aircraft models ... and is also significantly reducing aircraft deliveries,no,PIOTW_MISSED_EVENT,,,,false,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-013,ee03-ba-0000012927-24-000082,workforce_reduction,redundancy,positive,PDF p15 — Liquidity Matters,"on October 11, 2024, we announced that we plan to reduce the size of our total workforce by roughly 10 percent",no,PIOTW_MISSED_EVENT,,,,true,taxonomy coverage gap,The deterministic event patterns did not identify this independently described condition.
event-014,ee03-ba-0000012927-24-000082,cost_reduction,cost_reduction,positive,PDF p15 — Liquidity Matters,We are reducing discretionary spending as well as reducing or deferring non-essential capital expenditures.,no,PIOTW_MISSED_EVENT,,,,true,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-015,ee03-ba-0000012927-24-000082,liquidity_concern,liquidity_concern,positive,PDF p73 — Capital Resources,Moody’s downgraded our short term and long term credit ratings to Baa3/P-3 ... Moody's and S&P placed our ratings on review for downgrade,no,PIOTW_MISSED_EVENT,,,,true,PIOTW context/taxonomy error,The deterministic event patterns did not identify this independently described condition.
event-016,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,refinancing,"Financing Commitments Financing commitments related to aircraft on order, including options and those proposed in sales campaigns, and refinancing of delivered aircraft, totaled $ 17,379 and $ 17,003 as of September 30, 2024 and December 31, 2023.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-017,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"During the first quarter of 2024, we increased the reach-forward loss by $ 128 , primarily due to factory disruption associated with supply chain constraints.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-018,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"During the second quarter of 2024, we increased the reach-forward loss on the contract by $ 391 , primarily reflecting higher than anticipated factory disruption, including supply chain constraints and parts shortages.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-019,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,new_facility,We will be initiating final assembly operations at our new facility at Mid-America St.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-020,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"44 Table of Contents Supply Chain We and our suppliers are experiencing inflationary pressures, as well as supply chain disruptions as a result of global supply chain constraints and labor instability.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-021,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"787 Program During the first quarter of 2024, we disclosed that we were slowing near-term production to below 5 per month due to supply chain constraints.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-022,ee03-ba-0000012927-24-000082,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,The program continues to experience supply chain constraints and production issues.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-023,ee03-ba-0000012927-24-000082,,,,,,,PIOTW_FALSE_POSITIVE,restructuring,"If we continue to require cash to fund our operations or require additional funding in order to pay off existing debt, address further impacts to our business related to the strike by IAM 751 or market developments, fund outstanding financing commitments or meet other business requirements, we may need to refinance or restructure our debt, reduce or delay capital investments, or seek to raise additional capital including through the issuance of equity or equity-linked securities, and these activities could have terms that are unfavorable or could be dilutive.",,true,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-024,ee03-ba-0000012927-24-000082,,,,,,,PIOTW_FALSE_POSITIVE,refinancing,"If we continue to require cash to fund our operations or require additional funding in order to pay off existing debt, address further impacts to our business related to the strike by IAM 751 or market developments, fund outstanding financing commitments or meet other business requirements, we may need to refinance or restructure our debt, reduce or delay capital investments, or seek to raise additional capital including through the issuance of equity or equity-linked securities, and these activities could have terms that are unfavorable or could be dilutive.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-025,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,cost_reduction,We are focused on improving our products and processes and continuing cost reduction efforts.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-026,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"We and our suppliers are experiencing supply chain disruptions as a result of the lingering impacts of COVID-19, global supply chain constraints, and labor instability.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-027,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"Many of our suppliers are experiencing inflationary pressures, as well as disruptions due to the lingering impacts of COVID-19, global supply chain constraints, and labor instability.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-028,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,cost_reduction,"While fixed-price contracts enable us to benefit from performance improvements, cost reductions and efficiencies, they also subject us to the risk of reduced margins or incurring losses if we are unable to achieve estimated costs and revenues.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-029,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,supply_chain_constraint,"These factors include continued production disruption due to labor instability and supply chain disruption, customer negotiations, further production rate adjustments for the 777X or other commercial aircraft programs, contraction of the accounting quantity and potential risks associated with the testing program and the timing of aircraft certification.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-030,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,The increase was primarily driven by a decision in the fourth quarter of 2022 to slow down near-term production due to supply chain constraints and increased inspection and rework costs.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-031,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,growth_language,Continued access to global markets remains vital to our ability to fully realize our sales growth potential and long-term investment returns.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-032,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,refinancing,"While we may be required to fund a number of new aircraft deliveries in 2023 and/or provide refinancing for existing bridge debt, we expect alternative financing will be available at reasonable prices from broad and globally diverse sources.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-033,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,refinancing,"(Dollars in millions) Total Amounts Committed/Maximum Amount of Loss Less than 1 year 1-3 years 4-5 years After 5 years Standby letters of credit and surety bonds $5,070 $3,859 $1,036 $10 $165 Commercial aircraft financing commitments 16,105 3,084 5,989 4,075 2,957 Total commercial commitments $21,175 $6,943 $7,025 $4,085 $3,122 Commercial aircraft financing commitments include commitments to provide financing related to aircraft on order, under option for deliveries or proposed as part of sales campaigns or refinancing with respect to delivered aircraft, based on estimated earliest potential funding dates.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-034,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,refinancing,"84 Table of Contents Financing Commitments Financing commitments related to aircraft on order, including options and those proposed in sales campaigns, and refinancing of delivered aircraft, totaled $ 16,105 and $ 12,905 as of December 31, 2022 and 2021.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-035,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"During the year ended December 31, 2022, we increased the reach-forward loss on the KC-46A Tanker program by $ 1,374 primarily reflecting higher production and supply chain costs partially driven by labor instability and supply chain disruption, most of which was recorded during the third quarter of 2022.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-036,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,The increase in production costs was primarily driven by factory unit time performance expectations that assume continued production disruption due to labor instability and supply chain disruption.,,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-037,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"We increased the estimated reach-forward loss by $ 552 during the year ended December 31, 2022 primarily driven by ongoing supply chain negotiations (which are impacted by supply chain constraints and inflationary pressures), and design revisions, as well as an increase in the number of expected units in the initial production lots.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-038,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,supply_chain_constraint,"The ongoing effects of macroeconomic challenges, including supply chain disruption, labor shortages, and inflationary pressures compound these complexities and related financial risks.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-039,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,labour_constraint,"The ongoing effects of macroeconomic challenges, including supply chain disruption, labor shortages, and inflationary pressures compound these complexities and related financial risks.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-040,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"• We evaluated the reasonableness of judgments made and significant assumptions used by management relating to key cost and schedule estimates, including the effects of supply chain disruptions, labor shortages, and inflationary pressures.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-041,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,labour_constraint,"• We evaluated the reasonableness of judgments made and significant assumptions used by management relating to key cost and schedule estimates, including the effects of supply chain disruptions, labor shortages, and inflationary pressures.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-042,ee03-ba-0000012927-23-000007,,,,,,,PIOTW_FALSE_POSITIVE,supply_chain_constraint,"Program Accounting Revenue Estimates for the 787 Program — Refer to Notes 1, 7, and 22 to the financial statements Critical Audit Matter Description Production quality issues and supply chain disruption for the 787 program have resulted in increased risk associated with forecasted revenue estimates primarily due to the difficulty in assessing the value of consideration expected to be provided to customers as a result of delivery delays.",,false,PIOTW context/taxonomy error,"Keyword hit is hypothetical, biographical, or semantically unrelated."
event-043,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"How the Critical Audit Matter Was Addressed in the Audit Our audit procedures related to the estimated revenues for the 787 program included the following, among others: • We inquired of management, including operational and supply chain leadership, to assess the assumptions related to the supply chain disruption impacts on the delivery schedule and the estimated timeline for completion of rework.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-044,ee03-ba-0000012927-23-000007,,,,,,,AI_REVIEW_MISSING,supply_chain_constraint,"• We evaluated the appropriateness and consistency of management’s method used in developing the delivery schedule assumptions, including the impact of production quality issues and supply chain disruption.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
event-045,ee03-aapl-0000320193-23-000106,,,,,,,AI_REVIEW_MISSING,restructuring,"Restrictive measures can require the Company to take various actions, including changing suppliers, restructuring business relationships, and ceasing to offer third-party applications on its platforms.",,false,AI reviewer omission,Plausible extracted event omitted from a deliberately selective AI pass; human adjudication required.
