document_id,company,event_type,event_status,evidence_structure,period_binding,source_span,manual_sanity_classification
ee03-cat-0000018230-23-000011,CATERPILLAR INC,supply_chain_constraint,current,narrative_sentence,unknown,"However, in some cases, increases in demand or supply chain disruptions have led to parts and components constraints across some products.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,supply_chain_constraint,current,narrative_sentence,unknown,and elsewhere and has led to volatility in customer demand for the Company’s products and services and caused supply chain disruptions.,supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"In Energy & Transportation, we expect sales growth due to strong order rates in most applications.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"North America sales increased 29 percent driven by favorable price realization, the impact from changes in dealer inventories, increased services and higher sales of equipment to end users.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"Sales increased 33 percent in Latin America due to higher sales of equipment to end users, favorable price realization and the impact from changes in dealer inventories.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"EAME sales increased 6 percent due to favorable price realization, the impact from changes in dealer inventories and higher sales of equipment to end users, partially offset by unfavorable currency impacts related to the euro and British pound.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"Asia/Pacific sales increased 2 percent driven by favorable price realization, the impact from changes in dealer inventories and higher services, partially offset by lower sales of equipment to end users and unfavorable currency impacts related to the Australian dollar and Japanese yen.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• In North America, sales increased due to favorable price realization, the impact from changes in dealer inventories, higher sales of equipment to end users and higher sales of aftermarket parts.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• In EAME, sales increased due to favorable price realization and the impact from changes in dealer inventories, partially offset by unfavorable currency impacts related to the euro.",supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,Sales increased across all applications and inter-segment sales.,supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,list_bullet,unknown,• Oil and Gas – Sales increased due to higher sales of reciprocating engine aftermarket parts and engines used in well servicing and gas compression applications.,supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,list_bullet,unknown,• Industrial – Sales increased due to higher demand across all regions.,supported
ee03-cat-0000018230-23-000011,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• Transportation – Sales increased primarily in reciprocating aftermarket parts and engines, mostly driven by marine applications.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,major_investment,current,table_row,unknown,We also expect restructuring costs to be approximately $400 million and expect capital expenditures to be around $2.0 billion.,supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"Sales increased 6 percent in Latin America mainly due to higher sales volume, partially offset by unfavorable currency impacts, primarily related to the Brazilian real.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• Power Generation – Sales increased in large reciprocating engines, primarily data center applications.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• Transportation – Sales increased in marine applications, partially offset by lower deliveries of international locomotives.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,"North America sales increased 1 percent primarily due to favorable price realization, partially offset by lower sales volume.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,Sales increased 4 percent in Latin America mainly due to higher sales volume.,supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,list_bullet,unknown,"• Sales increased in Latin America mainly due to higher sales volume, partially offset by unfavorable price realization.",supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,narrative_sentence,unknown,Sales increased across all applications except Industrial.,supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,list_bullet,unknown,• Oil and Gas – Sales increased for turbines and turbine-related services.,supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,growth_language,current,list_bullet,unknown,• Transportation – Sales increased in marine applications and rail services.,supported
ee03-cat-0000018230-24-000053,CATERPILLAR INC,demand_weakness,current,narrative_sentence,unknown,"The order backlog increased in Energy & Transportation, while Construction Industries and Resource Industries decreased.",supported
ee03-de-0001558370-23-019812,DEERE & CO,cost_reduction,current,narrative_sentence,unknown,"Additionally, considerable effort is being directed to manufacturing cost reduction through process improvement and improvements in product design, advanced manufacturing technology, and supply management and logistics, as well as compensation incentives related to productivity and organizational structure.",supported
ee03-de-0001558370-23-019812,DEERE & CO,supply_chain_constraint,current,narrative_sentence,unknown,We have implemented mitigation efforts to minimize the impact of potential and actual supply chain disruptions on our customers.,supported
ee03-de-0001558370-23-019812,DEERE & CO,demand_weakness,current,narrative_sentence,unknown,Backlog orders decreased as demand has declined.,supported
ee03-de-0001558370-23-019812,DEERE & CO,operational_disruption,current,narrative_sentence,unknown,"Changes in the availability and price of certain raw materials, components, and whole goods have resulted and could continue to result in disruptions to the supply chain causing production disruptions, increased costs, and lower profits on sales of our products.",supported
