dataset,prediction_id,company,ticker,cutoff,outcome,outcome_date,probability,feature_name,feature_value,contribution,direction,evidence_ids,evidence_observation,already_announced_exclusion,diagnostic_only
v1_development,rv-SNR-2021-12-31-restructuring-rules-1.0.0,Senior,SNR,2021-12-31,0,,0.320292,pressure_language,0.55,0.77,support,rv-SNR-2021,"Recovery remained early after the 2019-20 restructuring; the operating model stressed competitiveness and cost control, while improving demand and liquidity were contrary evidence.",2019-20 restructuring programme,true
v1_development,rv-SNR-2021-12-31-restructuring-rules-1.0.0,Senior,SNR,2021-12-31,0,,0.320292,margin_pressure,0.65,0.5850000000000001,support,rv-SNR-2021,"Recovery remained early after the 2019-20 restructuring; the operating model stressed competitiveness and cost control, while improving demand and liquidity were contrary evidence.",2019-20 restructuring programme,true
v1_development,rv-SNR-2021-12-31-restructuring-rules-1.0.0,Senior,SNR,2021-12-31,0,,0.320292,cash_pressure,0.35,0.24499999999999997,support,rv-SNR-2021,"Recovery remained early after the 2019-20 restructuring; the operating model stressed competitiveness and cost control, while improving demand and liquidity were contrary evidence.",2019-20 restructuring programme,true
v1_development,rv-SNR-2021-12-31-restructuring-rules-1.0.0,Senior,SNR,2021-12-31,0,,0.320292,contrary_strength,0.45,-0.36000000000000004,contradict,rv-SNR-2021,"Recovery remained early after the 2019-20 restructuring; the operating model stressed competitiveness and cost control, while improving demand and liquidity were contrary evidence.",2019-20 restructuring programme,true
v1_development,rv-SNR-2022-12-31-restructuring-rules-1.0.0,Senior,SNR,2022-12-31,0,,0.132684,pressure_language,0.25,0.35,support,rv-SNR-2022,Profitability and demand were recovering and cash generation remained positive; completed restructuring benefits were already visible and are excluded as a future outcome.,previously disclosed restructuring,true
v1_development,rv-SNR-2022-12-31-restructuring-rules-1.0.0,Senior,SNR,2022-12-31,0,,0.132684,margin_pressure,0.25,0.225,support,rv-SNR-2022,Profitability and demand were recovering and cash generation remained positive; completed restructuring benefits were already visible and are excluded as a future outcome.,previously disclosed restructuring,true
v1_development,rv-SNR-2022-12-31-restructuring-rules-1.0.0,Senior,SNR,2022-12-31,0,,0.132684,cash_pressure,0.20,0.13999999999999999,support,rv-SNR-2022,Profitability and demand were recovering and cash generation remained positive; completed restructuring benefits were already visible and are excluded as a future outcome.,previously disclosed restructuring,true
v1_development,rv-SNR-2022-12-31-restructuring-rules-1.0.0,Senior,SNR,2022-12-31,0,,0.132684,contrary_strength,0.75,-0.6000000000000001,contradict,rv-SNR-2022,Profitability and demand were recovering and cash generation remained positive; completed restructuring benefits were already visible and are excluded as a future outcome.,previously disclosed restructuring,true
v1_development,rv-CHRT-2021-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2021-12-31,0,,0.24835,pressure_language,0.35,0.48999999999999994,support,rv-CHRT-2021,"Cohort reported materially lower profitability and performance below market expectations at Chess and EID, despite strong order intake and an improved cash position.",,true
v1_development,rv-CHRT-2021-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2021-12-31,0,,0.24835,margin_pressure,0.85,0.765,support,rv-CHRT-2021,"Cohort reported materially lower profitability and performance below market expectations at Chess and EID, despite strong order intake and an improved cash position.",,true
v1_development,rv-CHRT-2021-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2021-12-31,0,,0.24835,cash_pressure,0.10,0.06999999999999999,support,rv-CHRT-2021,"Cohort reported materially lower profitability and performance below market expectations at Chess and EID, despite strong order intake and an improved cash position.",,true
v1_development,rv-CHRT-2021-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2021-12-31,0,,0.24835,contrary_strength,0.55,-0.44000000000000006,contradict,rv-CHRT-2021,"Cohort reported materially lower profitability and performance below market expectations at Chess and EID, despite strong order intake and an improved cash position.",,true
v1_development,rv-CHRT-2022-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2022-12-31,0,,0.12106,pressure_language,0.20,0.27999999999999997,support,rv-CHRT-2022,"The half-year disclosure showed recovery from the prior-year weakness, supported by defence order visibility and balance-sheet capacity; residual delivery pressure remained.",,true
v1_development,rv-CHRT-2022-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2022-12-31,0,,0.12106,margin_pressure,0.25,0.225,support,rv-CHRT-2022,"The half-year disclosure showed recovery from the prior-year weakness, supported by defence order visibility and balance-sheet capacity; residual delivery pressure remained.",,true
v1_development,rv-CHRT-2022-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2022-12-31,0,,0.12106,cash_pressure,0.15,0.105,support,rv-CHRT-2022,"The half-year disclosure showed recovery from the prior-year weakness, supported by defence order visibility and balance-sheet capacity; residual delivery pressure remained.",,true
v1_development,rv-CHRT-2022-12-31-restructuring-rules-1.0.0,Cohort,CHRT,2022-12-31,0,,0.12106,contrary_strength,0.75,-0.6000000000000001,contradict,rv-CHRT-2022,"The half-year disclosure showed recovery from the prior-year weakness, supported by defence order visibility and balance-sheet capacity; residual delivery pressure remained.",,true
v1_development,rv-MRO-2021-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2021-12-31,0,,0.221417,pressure_language,0.55,0.77,support,rv-MRO-2021,"The group was still investing heavily in restructuring across acquired businesses, but margins, earnings, free cash flow and leverage were improving. Existing programmes are excluded from the future label.",GKN restructuring already disclosed,true
v1_development,rv-MRO-2021-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2021-12-31,0,,0.221417,margin_pressure,0.35,0.315,support,rv-MRO-2021,"The group was still investing heavily in restructuring across acquired businesses, but margins, earnings, free cash flow and leverage were improving. Existing programmes are excluded from the future label.",GKN restructuring already disclosed,true
v1_development,rv-MRO-2021-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2021-12-31,0,,0.221417,cash_pressure,0.30,0.21,support,rv-MRO-2021,"The group was still investing heavily in restructuring across acquired businesses, but margins, earnings, free cash flow and leverage were improving. Existing programmes are excluded from the future label.",GKN restructuring already disclosed,true
v1_development,rv-MRO-2021-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2021-12-31,0,,0.221417,contrary_strength,0.70,-0.5599999999999999,contradict,rv-MRO-2021,"The group was still investing heavily in restructuring across acquired businesses, but margins, earnings, free cash flow and leverage were improving. Existing programmes are excluded from the future label.",GKN restructuring already disclosed,true
v1_development,rv-MRO-2022-12-31-restructuring-rules-1.0.0,Melrose Industries,MRO,2022-12-31,0,,0.270432,pressure_language,0.60,0.84,support,rv-MRO-2022,Aerospace and automotive operations faced inflation and supply constraints while restructuring expenditure continued; trading and cash generation provided material contrary evidence. Existing programmes are excluded.,continuing GKN restructuring already disclosed,true
