case_id,family,candidate_event_type,expected_classification,pre_hardening_actual,post_hardening_actual,post_hardening_reason,evidence_span,surrounding_context,target_entity,entity_scope,polarity,temporal_status,failure_type,root_cause,deterministic_shared_logic_relevant,family_specific_logic_relevant,source_extraction_relevant,proposed_general_fix,overfitting_risk,regression_test_id,resolved,formal_gold,contamination_status
050417badd1c5f0623a646fe,restructuring_cost_action,restructuring,accept,ambiguous,accept,direct_or_indirect_target_action,"The majority of the restructuring accrual at June 13, 2026 is expected to be paid within a year.","The majority of the restructuring accrual at June 13, 2026 is expected to be paid within a year.",PEPSICO INC,target_company,neutral_or_positive,planned,missed_supported,active_plan_accounting_evidence,false,true,true,Accept only dated active-plan balances or payment/action evidence; keep definitions ambiguous.,medium,v036-known-01,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
0550812c3578675dc111f232,restructuring_cost_action,restructuring,accept,ambiguous,accept,direct_or_indirect_target_action,This restructuring plan is expected to impact approximately 7% of our global workforce with estimated pre-tax charges of approximately $1 billion.,This restructuring plan is expected to impact approximately 7% of our global workforce with estimated pre-tax charges of approximately $1 billion.,"CISCO SYSTEMS, INC.",target_company,neutral_or_positive,planned,missed_supported,indirect_intervention_language,false,true,false,Recognise implemented structural action while rejecting generic capability language.,medium,v036-known-02,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
1f06297fff3fd807f39b9581,supply_chain_resilience,supply_chain_constraint,accept,ambiguous,accept,direct_supply_condition,We have implemented actions and programs to mitigate some of the impacts but anticipate supply chain disruptions to continue.,We have implemented actions and programs to mitigate some of the impacts but anticipate supply chain disruptions to continue.,RTX Corp,target_company,neutral_or_positive,current,missed_supported,realised_supply_condition,true,true,false,"Recognise current issuer impact and mitigation/persistence while rejecting third-party, hypothetical and historical-only text.",medium,v036-known-03,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
295634ff4162bff6ad74ef07,restructuring_cost_action,restructuring,accept,ambiguous,accept,direct_or_indirect_target_action,"Substantially all of the restructuring accrual at December 27, 2025 is expected to be paid by the end of 2026.","Substantially all of the restructuring accrual at December 27, 2025 is expected to be paid by the end of 2026.",PEPSICO INC,target_company,neutral_or_positive,planned,missed_supported,active_plan_accounting_evidence,false,true,true,Accept only dated active-plan balances or payment/action evidence; keep definitions ambiguous.,medium,v036-known-04,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
3924161d7e2a60d592dddc9d,supply_chain_resilience,supply_chain_constraint,reject,accept,reject,historical_only,"We have experienced component shortages in the past, including shortages caused by manufacturing process issues, that have affected our operations, including longer than normal lead times.","We have experienced component shortages in the past, including shortages caused by manufacturing process issues, that have affected our operations, including longer than normal lead times.","CISCO SYSTEMS, INC.",target_company,negative,current,false_accept,historical_context,true,false,false,Reject completed or past-only conditions without a current anchor.,low,v036-known-05,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
494538ef771bb0b93e81f33d,supply_chain_resilience,supply_chain_constraint,accept,ambiguous,accept,direct_supply_condition,"Global supply chain disruptions have impacted our ability to procure raw materials, including certain rare earth elements, microelectronics, and certain commodities.","Global supply chain disruptions have impacted our ability to procure raw materials, including certain rare earth elements, microelectronics, and certain commodities.",RTX Corp,target_company,neutral_or_positive,current,missed_supported,realised_supply_condition,true,true,false,"Recognise current issuer impact and mitigation/persistence while rejecting third-party, hypothetical and historical-only text.",medium,v036-known-06,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
6172fda86b93901d4372618d,delivery_capacity_sites,site_closure,accept,ambiguous,accept,direct_capacity_or_delivery_event,"These pre-tax charges are expected to consist of approximately 50 % of severance and other employee-related costs, 15 % for asset impairments (all non-cash) resulting from plant closures and related actions, and 35 % for other costs associated with the implementation of our initiatives.","These pre-tax charges are expected to consist of approximately 50 % of severance and other employee-related costs, 15 % for asset impairments (all non-cash) resulting from plant closures and related actions, and 35 % for other costs associated with the implementation of our initiatives.",PEPSICO INC,target_company,negative,planned,missed_supported,indirect_site_action,false,true,false,Recognise closures tied to current charges/actions without treating provisions alone as events.,medium,v036-known-07,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
7b2cd12bf72194a3eaad5aff,leadership_change_execution,transformation,accept,ambiguous,accept,direct_change_execution_event,"In addition, we continue on our multi-year phased business transformation initiative to migrate certain aspects of our systems, including our financial processing systems, to enterprise-wide systems solutions and have deployed these systems in certain countries and segments.","In addition, we continue on our multi-year phased business transformation initiative to migrate certain aspects of our systems, including our financial processing systems, to enterprise-wide systems solutions and have deployed these systems in certain countries and segments.",PEPSICO INC,target_company,neutral_or_positive,current,missed_supported,ongoing_programme_execution,false,true,false,"Recognise continuing multi-year execution with deployed action, not aspiration alone.",medium,v036-known-08,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
814f0960a7337764a01bdda8,demand_growth,growth_language,reject,accept,reject,metric_description_not_observed_change,We also focus on backlog as a key financial performance measure of our forward-looking sales growth.,We also focus on backlog as a key financial performance measure of our forward-looking sales growth.,RTX Corp,target_company,neutral_or_positive,current,false_accept,metric_description,false,true,false,"Require observed backlog movement, not a metric description.",low,v036-known-09,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
a3a2423f647318d0ba80ef94,delivery_capacity_sites,site_closure,accept,ambiguous,accept,direct_capacity_or_delivery_event,"These pre-tax charges are expected to consist of approximately 50 % of severance and other employee-related costs, 15 % for asset impairments (all non-cash) resulting from plant closures and related actions and 35 % for other costs associated with the implementation of our initiatives.","These pre-tax charges are expected to consist of approximately 50 % of severance and other employee-related costs, 15 % for asset impairments (all non-cash) resulting from plant closures and related actions and 35 % for other costs associated with the implementation of our initiatives.",PEPSICO INC,target_company,negative,planned,missed_supported,indirect_site_action,false,true,false,Recognise closures tied to current charges/actions without treating provisions alone as events.,medium,v036-known-10,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
a3e3c0cf90876614616ee8ac,workforce,workforce_reduction,accept,ambiguous,accept,direct_workforce_event,The increase in restructuring costs from 2025 compared to 2024 relates to ongoing cost reduction efforts driven by various workforce reductions initiated in 2025.,The increase in restructuring costs from 2025 compared to 2024 relates to ongoing cost reduction efforts driven by various workforce reductions initiated in 2025.,RTX Corp,target_company,negative,ongoing,missed_supported,implemented_workforce_action,false,true,false,Recognise initiated or ongoing reductions with target attribution.,low,v036-known-11,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
a5380b92f5356c6cfb7ccd17,restructuring_cost_action,restructuring,accept,ambiguous,accept,direct_or_indirect_target_action,We are continuously evaluating our cost structure and implement restructuring actions in an effort to keep our cost structure competitive.,We are continuously evaluating our cost structure and implement restructuring actions in an effort to keep our cost structure competitive.,RTX Corp,target_company,neutral_or_positive,current,missed_supported,indirect_intervention_language,false,true,false,Recognise implemented structural action while rejecting generic capability language.,medium,v036-known-12,true,false,DEVELOPMENT_CONTAMINATED_NOT_VALIDATION
