fact_id,company,document_id,source_location,fact_type,observation,signal_family,direction,condition,relationship,strength,reliability,materiality,recency,independence,relevance,validation_status
CHG01,Chemring,chemring-fy21,page 1,financial,Revenue fell 2% to £393.3m while underlying operating profit rose 5%,commercial_weakness,1,commercial_weakness,supports,0.35,0.95,0.55,0.98,1.0,0.55,manual_checked
CHG02,Chemring,chemring-fy21,page 1,financial,Underlying operating margin improved from 13.6% to 14.6%,margin,-1,cost_base_inflation,contradicts,0.65,0.95,0.70,0.98,1.0,0.75,manual_checked
CHG03,Chemring,chemring-fy21,page 1,financial,Cash conversion was 105% and net debt fell 45%,cash_generation,-1,working_capital_pressure,contradicts,0.80,0.95,0.80,0.98,1.0,0.85,manual_checked
CHG04,Chemring,chemring-fy21,page 4,operational,Company reported labour availability and supply-chain pressures likely to continue into 2022,supply_constraint,1,supply_constraint,supports,0.75,0.80,0.70,0.98,0.85,0.85,manual_checked
CHG05,Chemring,chemring-fy21,page 5,commercial,Order book rose 5% and covered about 84% of expected 2022 revenue,capacity_constraint,1,capacity_constraint,supports,0.65,0.80,0.75,0.98,1.0,0.80,manual_checked
CHG06,Chemring,chemring-fy21,page 13,operational,Countermeasures margin improved due to stronger operational execution,execution_recovery,-1,production_constraint,contradicts,0.65,0.80,0.65,0.98,0.90,0.75,manual_checked
CHG07,Chemring,chemring-fy21,page 13,investment,Company planned continued modernisation automation and lean-manufacturing investment,capacity_constraint,1,capacity_constraint,supports,0.70,0.80,0.75,0.98,1.0,0.90,manual_checked
CHG08,Chemring,chemring-fy21,page 14,financial,Working capital stayed at 21% of revenue and absolute inventory fell,working_capital,-1,working_capital_pressure,contradicts,0.65,0.95,0.65,0.98,1.0,0.75,manual_checked
VSVS01,Vesuvius,vesuvius-h121,page 1,financial,Revenue rose 12% and return on sales improved 200 basis points,margin,-1,cost_base_inflation,contradicts,0.75,0.95,0.75,0.90,1.0,0.75,manual_checked
VSVS02,Vesuvius,vesuvius-h121,page 1,operational,Supply-chain disruption caused £10.3m of excess freight costs,supply_constraint,1,supply_constraint,supports,0.90,0.80,0.90,0.90,1.0,0.95,manual_checked
VSVS03,Vesuvius,vesuvius-h121,page 1,operational,Price rises covered raw-material costs but not all excess freight costs,cost_base_inflation,1,cost_base_inflation,supports,0.75,0.80,0.75,0.90,0.85,0.85,manual_checked
VSVS04,Vesuvius,vesuvius-h121,page 1,investment,Company announced a £28m capacity expansion operational from late 2022,capacity_constraint,1,capacity_constraint,supports,0.95,0.80,0.90,0.90,1.0,1.0,manual_checked
VSVS05,Vesuvius,vesuvius-h121,page 6,financial,Trade working capital to sales improved from 23.2% to 20.7%,working_capital,-1,working_capital_pressure,contradicts,0.70,0.95,0.70,0.90,1.0,0.80,manual_checked
VSVS06,Vesuvius,vesuvius-h121,page 6,operational,Company expected inventory days to rise after deciding to build raw-material and finished-goods inventory,inventory_build,1,working_capital_pressure,supports,0.75,0.80,0.70,0.90,1.0,0.85,manual_checked
VSVS07,Vesuvius,vesuvius-h121,page 12,financial,H1 cash conversion fell to 52% from 137% as working capital and capex increased,cash_generation,1,working_capital_pressure,supports,0.85,0.95,0.85,0.90,1.0,0.90,manual_checked
VSVS08,Vesuvius,vesuvius-h121,page 4,narrative,Management expected supply-chain disruption to remain a headwind throughout 2021,supply_constraint,1,supply_constraint,supports,0.70,0.75,0.65,0.90,0.75,0.80,manual_checked
BOY01,Bodycote,bodycote-tu21,page 1,financial,Ten-month group revenue was 3% above the prior year,commercial_weakness,-1,commercial_weakness,contradicts,0.45,0.80,0.50,0.95,1.0,0.60,manual_checked
BOY02,Bodycote,bodycote-tu21,page 1,operational,Automotive revenue fell 6% because of industry supply-chain bottlenecks,supply_constraint,1,supply_constraint,supports,0.80,0.80,0.75,0.95,1.0,0.90,manual_checked
BOY03,Bodycote,bodycote-tu21,page 1,forecast,Expected full-year revenue was cut by up to £10m because automotive recovery did not occur,forecasting_weakness,1,forecasting_weakness,supports,0.80,0.80,0.80,0.95,1.0,0.95,manual_checked
BOY04,Bodycote,bodycote-tu21,page 1,narrative,Management characterised the automotive supply problem as transitory,supply_constraint,-1,supply_constraint,contradicts,0.40,0.75,0.45,0.95,0.85,0.60,manual_checked
BOY05,Bodycote,bodycote-tu21,page 1,operational,General-industrial supply chains remained short of inventory,supply_constraint,1,supply_constraint,supports,0.55,0.75,0.55,0.95,0.85,0.70,manual_checked
BOY06,Bodycote,bodycote-tu21,page 2,financial,Cash flow remained strong and margins were described as healthy,cash_generation,-1,working_capital_pressure,contradicts,0.70,0.75,0.70,0.95,1.0,0.80,manual_checked
BOY07,Bodycote,bodycote-tu21,page 2,operational,Energy and labour inflation were being passed to customers,cost_base_inflation,-1,cost_base_inflation,contradicts,0.55,0.75,0.60,0.95,0.85,0.75,manual_checked
BOY08,Bodycote,bodycote-tu21,page 2,operational,Existing restructuring savings were supporting margins,execution_recovery,-1,cost_base_inflation,contradicts,0.55,0.75,0.60,0.95,0.90,0.70,manual_checked
