occasion_id,pressure_language,margin_pressure,cash_pressure,contrary_strength,reviewer,review_note
rv2-ALU-2020-12-31,0.65,0.45,0.25,0.45,codex-primary-1,"Repeated project-delay and loss pressure at Levolux; June 2019 restructuring is already public and excluded; modest debt and resilient remainder offset."
rv2-ALU-2022-12-31,0.20,0.10,0.15,0.75,codex-primary-1,"Margins and operating cash flow improved strongly; limited residual pressure and strong demand/order evidence."
rv2-ALU-2024-12-31,0.45,0.70,0.10,0.65,codex-primary-1,"Water Management margin fell about 390bps and volume pressure was explicit; cash conversion and forward order book were strong offsets."
rv2-AUK-2020-12-31,0.55,0.65,0.55,0.40,codex-primary-1,"Project delays, loss-making operations and staff reductions showed material pressure; overdraft dependence offset partly by improving second-half trading and order books."
rv2-AUK-2022-12-31,0.65,0.65,0.65,0.35,codex-primary-1,"UAE restructuring was already public and excluded; continuing working-capital challenge and weak profitability dominated limited order-book offsets."
rv2-AVG-2020-12-31,0.20,0.10,0.10,0.80,codex-primary-1,"Prior integration restructuring was already public; margins, cash, debt and trading indicators improved materially."
rv2-AVG-2022-12-31,0.35,0.10,0.30,0.80,codex-primary-1,"Targeted completed restructuring and contract delays were contained; margin improvement, strong results and record orders were strong offsets."
rv2-AVG-2024-12-31,0.20,0.25,0.25,0.85,codex-primary-1,"Slight gross-margin dilution and working-capital absorption were contained; revenue, EBITDA, cash and order-book evidence were strong."
rv2-AVON-2020-12-31,0.35,0.35,0.55,0.65,codex-primary-1,"Fire SCBA exit was already public and excluded; statutory profit and cash conversion weakened, offset by adjusted margin and order-book strength."
rv2-AVON-2022-12-31,0.55,0.80,0.40,0.55,codex-primary-1,"Statutory operating loss and product-portfolio intervention indicated high pressure; cash conversion and a strong opening order book provided offsets."
rv2-AVON-2024-12-31,0.65,0.75,0.75,0.35,codex-primary-1,"Transformation workstreams, operating loss, impairments, leverage and 7% cash conversion indicated pervasive pressure; order support was the main offset."
rv2-BA.-2020-12-31,0.15,0.20,0.10,0.85,codex-primary-1,"Portfolio restructuring was already public and excluded; free cash flow, backlog and overall performance were strong."
rv2-BA.-2022-12-31,0.10,0.05,0.05,0.90,codex-primary-1,"Applied Intelligence restructuring was already completed; profit, cash flow and balance-sheet indicators were strongly positive."
rv2-BA.-2024-12-31,0.10,0.05,0.05,0.95,codex-primary-1,"No specific unresolved operating pressure; record backlog, sales, profitability and free cash flow supplied multiple quantified offsets."
rv2-BBY-2020-12-31,0.35,0.25,0.25,0.65,codex-primary-1,"Several disclosed restructuring programmes were already public and excluded; contract working-capital issues were offset by profit, cash and order-book resilience."
rv2-BBY-2022-12-31,0.15,0.20,0.10,0.80,codex-primary-1,"Earlier management restructuring and gas exits were completed/already public; net cash and order book were strong."
rv2-BBY-2024-12-31,0.15,0.35,0.15,0.75,codex-primary-1,"Contained Gammon margin and order-book decline was visible; group cash generation, scale and broader order book remained strong."
rv2-BNZL-2020-12-31,0.30,0.10,0.10,0.75,codex-primary-1,"Customer and specialist-business restructurings were already known and excluded; group margin, cash conversion and acquisition pipeline were strong."
rv2-BNZL-2022-12-31,0.15,0.30,0.10,0.75,codex-primary-1,"Small operating-margin decline was contained; cash conversion, demand and recovery evidence were strong."
rv2-BNZL-2024-12-31,0.10,0.05,0.10,0.90,codex-primary-1,"Strong margin management, free cash flow and resilient growth outweighed limited North American softness."
rv2-BOY-2020-12-31,0.70,0.40,0.15,0.45,codex-primary-1,"Facility consolidation and a 2020 restructuring plan were already announced and therefore excluded as outcomes; cyclical weakness and modest margin decline remained meaningful pressure."
rv2-BOY-2022-12-31,0.15,0.05,0.10,0.85,codex-primary-1,"The 2020 programme was completed and excluded; margin recovery, cash flow and positive market outlook were strong."
rv2-BOY-2024-12-31,0.10,0.05,0.05,0.90,codex-primary-1,"Revenue, margin, returns and free cash flow improved materially with strong end-market evidence."
rv2-BRCK-2020-12-31,0.15,0.20,0.10,0.80,codex-primary-1,"No specific intervention pressure; stable gross margin, strong balance sheet, cash conversion, acquisitions and order books dominated."
