document_id,company,event_type,source_span,reason_code,support_span,diagnostic_classification,severe,failure_class,notes
ee02-intc-0000050863-23-000006,INTEL CORP,demand_weakness,"NEX revenue increased primarily due to Ethernet ASPs and increased demand for 5G products, partially offset by lower demand for Network Xeon.",DIRECT_CURRENT_EVENT,"NEX revenue increased primarily due to Ethernet ASPs and increased demand for 5G products, partially offset by lower demand for Network Xeon.",supported,false,,Direct segment demand weakness.
ee02-intc-0000050863-23-000006,INTEL CORP,growth_language,"NEX revenue increased primarily due to Ethernet ASPs and increased demand for 5G products, partially offset by lower demand for Network Xeon.",DIRECT_CURRENT_EVENT,"NEX revenue increased primarily due to Ethernet ASPs and increased demand for 5G products, partially offset by lower demand for Network Xeon.",supported,false,,Direct segment growth condition.
ee02-intc-0000050863-23-000006,INTEL CORP,growth_language,"We further expect to manage to the investment phase operating expenses and net capital intensity guardrails established at our Investor Meeting 2022 and to drive back to a gross margin range of 51% to 53%, once economic conditions improve and revenue growth returns.",DIRECT_PLANNED_EVENT,"We further expect to manage to the investment phase operating expenses and net capital intensity guardrails established at our Investor Meeting 2022 and to drive back to a gross margin range of 51% to 53%, once economic conditions improve and revenue growth returns.",false_positive,false,conditional_future_growth,Revenue growth returning is conditional future wording rather than a factual current growth event.
ee02-intc-0000050863-23-000006,INTEL CORP,cost_reduction,"Longer term, we plan to execute multiple initiatives designed to optimize the business, thus creating efficiencies and continued structural cost savings.",DIRECT_PLANNED_EVENT,"Longer term, we plan to execute multiple initiatives designed to optimize the business, thus creating efficiencies and continued structural cost savings.",supported,false,,Direct planned cost-reduction initiative.
ee02-intc-0000050863-23-000006,INTEL CORP,restructuring,"We announced the implementation of cost-cutting measures, including a slower pace of hiring and restructuring actions, designed to reduce operating expenditures and manage the business toward our long-term financial strategy.",DIRECT_CURRENT_EVENT,"We announced the implementation of cost-cutting measures, including a slower pace of hiring and restructuring actions, designed to reduce operating expenditures and manage the business toward our long-term financial strategy.",supported,false,,Announced restructuring actions.
ee02-intc-0000050863-23-000006,INTEL CORP,capacity_expansion,"As we invest in our IDM 2.0 strategy and implement our next phase of capacity expansions and the acceleration of our process technology roadmap, our allocation priorities have shifted more heavily toward investing in the business and away from stock repurchases.",DIRECT_CURRENT_EVENT,"As we invest in our IDM 2.0 strategy and implement our next phase of capacity expansions and the acceleration of our process technology roadmap, our allocation priorities have shifted more heavily toward investing in the business and away from stock repurchases.",supported,false,,Direct capacity-expansion programme.
ee02-intc-0000050863-23-000006,INTEL CORP,supply_chain_constraint,"Network and Supply Chain In 2022, our factories performed well in a highly dynamic environment, where we adapted to rapid demand shifts and industry component shortages affecting us and our customers.",DIRECT_CURRENT_EVENT,"Network and Supply Chain In 2022, our factories performed well in a highly dynamic environment, where we adapted to rapid demand shifts and industry component shortages affecting us and our customers.",supported,false,,Actual component shortages affecting the company and customers.
ee02-intc-0000050863-23-000006,INTEL CORP,new_facility,"This year, we broke ground on our new site in Ohio and officially added Germany to our roadmap.",DIRECT_CURRENT_EVENT,"This year, we broke ground on our new site in Ohio and officially added Germany to our roadmap.",supported,false,,Direct new-site evidence.
ee02-intc-0000050863-23-000006,INTEL CORP,demand_weakness,"Notebook unit sales decreased 36%, driven by lower demand in the consumer and education market segments, and notebook ASPs increased 15% due to an increased mix of commercial and consumer products and a lower mix of education products.",DIRECT_CURRENT_EVENT,"Notebook unit sales decreased 36%, driven by lower demand in the consumer and education market segments, and notebook ASPs increased 15% due to an increased mix of commercial and consumer products and a lower mix of education products.",supported,false,,Direct demand decline.
ee02-intc-0000050863-23-000006,INTEL CORP,demand_weakness,"Desktop unit sales decreased 19%, driven by lower demand in the consumer and education market segments, and desktop ASPs increased 5%, primarily from an increased mix of commercial products.",DIRECT_CURRENT_EVENT,"Desktop unit sales decreased 19%, driven by lower demand in the consumer and education market segments, and desktop ASPs increased 5%, primarily from an increased mix of commercial products.",supported,false,,Direct demand decline.
ee02-mmm-0000066740-23-000014,3M CO,transformation,"The Company utilizes various tools, such as continuous improvement, to improve productivity and reduce expenses and engages in ongoing global business transformation to improve operational efficiency, productivity, and the speed and efficiency with which it serves customers.",DIRECT_CURRENT_EVENT,"The Company utilizes various tools, such as continuous improvement, to improve productivity and reduce expenses and engages in ongoing global business transformation to improve operational efficiency, productivity, and the speed and efficiency with which it serves customers.",supported,false,,Ongoing company transformation.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"In Canada, total sales increased 9 percent which included increased organic sales of 13 percent.",DIRECT_CURRENT_EVENT,"In Canada, total sales increased 9 percent which included increased organic sales of 13 percent.",supported,false,,Direct geographic sales growth.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"In the Asia Pacific geographic area, China total sales increased 17 percent which included increased organic sales of 11 percent.",DIRECT_CURRENT_EVENT,"In the Asia Pacific geographic area, China total sales increased 17 percent which included increased organic sales of 11 percent.",supported,false,,Direct geographic sales growth.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"On an organic sales basis: • Sales increased in electrical markets, abrasives, automotive aftermarket, roofing granules, closure and masking systems, and industrial adhesives and tapes and decreased in personal safety.",DIRECT_CURRENT_EVENT,"On an organic sales basis: • Sales increased in electrical markets, abrasives, automotive aftermarket, roofing granules, closure and masking systems, and industrial adhesives and tapes and decreased in personal safety.",supported,false,,Direct product-market sales growth.
ee02-mmm-0000066740-23-000014,3M CO,restructuring,"Margins were also impacted by increased raw materials and logistics costs, manufacturing productivity headwinds, partially offset by selling price actions, spending discipline and restructuring actions.",DIRECT_CURRENT_EVENT,"Margins were also impacted by increased raw materials and logistics costs, manufacturing productivity headwinds, partially offset by selling price actions, spending discipline and restructuring actions.",supported,false,,Direct restructuring effect.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"On an organic sales basis: • Sales increased in abrasives, industrial adhesives and tapes, automotive aftermarket, electrical markets, roofing granules, and closure and masking systems and decreased in personal safety.",DIRECT_CURRENT_EVENT,"On an organic sales basis: • Sales increased in abrasives, industrial adhesives and tapes, automotive aftermarket, electrical markets, roofing granules, and closure and masking systems and decreased in personal safety.",supported,false,,Direct product-market sales growth.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"On an organic sales basis: • Sales increased in automotive and aerospace, commercial solutions and advanced materials, and decreased in transportation safety and electronics.",DIRECT_CURRENT_EVENT,"On an organic sales basis: • Sales increased in automotive and aerospace, commercial solutions and advanced materials, and decreased in transportation safety and electronics.",supported,false,,Direct product-market sales growth.
ee02-mmm-0000066740-23-000014,3M CO,restructuring,"Margins were also impacted by increased raw materials and logistics costs, manufacturing productivity headwinds which were further magnified by the shutdown of certain operations in Belgium and investments in auto electrification, partially offset by selling price actions, strong spending discipline and restructuring actions.",DIRECT_CURRENT_EVENT,"Margins were also impacted by increased raw materials and logistics costs, manufacturing productivity headwinds which were further magnified by the shutdown of certain operations in Belgium and investments in auto electrification, partially offset by selling price actions, strong spending discipline and restructuring actions.",supported,false,,Direct restructuring effect.
ee02-mmm-0000066740-23-000014,3M CO,growth_language,"On an organic sales basis: • Sales increased in advanced materials, commercial solutions, automotive and aerospace, electronics and transportation safety.",DIRECT_CURRENT_EVENT,"On an organic sales basis: • Sales increased in advanced materials, commercial solutions, automotive and aerospace, electronics and transportation safety.",supported,false,,Direct product-market sales growth.
ee02-mmm-0000066740-23-000014,3M CO,supply_chain_constraint,"• Growth benefited from improving automotive-end market activity such as increases in car and light truck builds, strong demand in data center, semiconductor, interconnect and consumer electronics markets and increased advertising spend and return to workplace trends partially offset by impacts from semiconductor supply chain constraints.",DIRECT_CURRENT_EVENT,"• Growth benefited from improving automotive-end market activity such as increases in car and light truck builds, strong demand in data center, semiconductor, interconnect and consumer electronics markets and increased advertising spend and return to workplace trends partially offset by impacts from semiconductor supply chain constraints.",supported,false,,Direct supply-chain constraint effect.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,Highlights from fiscal year 2023 compared with fiscal year 2022 included: • Microsoft Cloud revenue increased 22% to $111.6 billion.,DIRECT_CURRENT_EVENT,Highlights from fiscal year 2023 compared with fiscal year 2022 included: • Microsoft Cloud revenue increased 22% to $111.6 billion.,supported,false,,Direct cloud revenue growth.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,• Office Commercial products and cloud services revenue increased 10% driven by Office 365 Commercial growth of 13%.,DIRECT_CURRENT_EVENT,• Office Commercial products and cloud services revenue increased 10% driven by Office 365 Commercial growth of 13%.,supported,false,,Direct product revenue growth.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,• Office Consumer products and cloud services revenue increased 2% and Microsoft 365 Consumer subscribers increased to 67.0 million.,DIRECT_CURRENT_EVENT,• Office Consumer products and cloud services revenue increased 2% and Microsoft 365 Consumer subscribers increased to 67.0 million.,supported,false,,Direct product and subscriber growth.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,• LinkedIn revenue increased 10%.,DIRECT_CURRENT_EVENT,• LinkedIn revenue increased 10%.,supported,false,,Direct LinkedIn revenue growth.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,• Dynamics products and cloud services revenue increased 16% driven by Dynamics 365 growth of 24%.,DIRECT_CURRENT_EVENT,• Dynamics products and cloud services revenue increased 16% driven by Dynamics 365 growth of 24%.,supported,false,,Direct Dynamics revenue growth.
ee02-msft-0000950170-23-035122,MICROSOFT CORP,growth_language,• Server products and cloud services revenue increased 19% driven by Azure and other cloud services growth of 29%.,DIRECT_CURRENT_EVENT,• Server products and cloud services revenue increased 19% driven by Azure and other cloud services growth of 29%.,supported,false,,Direct server and cloud growth.
