company,ticker,sector,stratum,stable_id
AB Dynamics,ABDP,Automotive testing,aerospace_auto_defence,gb-abdp
Avon Technologies,AVON,Defence protection,aerospace_auto_defence,gb-avon
BAE Systems,BA.,Aerospace and defence,aerospace_auto_defence,gb-ba
Babcock International,BAB,Defence engineering,aerospace_auto_defence,gb-bab
Chemring Group,CHG,Aerospace and defence,aerospace_auto_defence,gb-chg
Cohort,CHRT,Aerospace and defence,aerospace_auto_defence,gb-chrt
Dowlais Group,DWL,Automotive components,aerospace_auto_defence,gb-dwl
Melrose Industries,MRO,Aerospace engineering,aerospace_auto_defence,gb-mro
QinetiQ Group,QQ.,Aerospace and defence,aerospace_auto_defence,gb-qq
Ricardo,RCDO,Automotive engineering,aerospace_auto_defence,gb-rcdo
Senior,SNR,Aerospace and automotive,aerospace_auto_defence,gb-snr
Rolls-Royce Holdings,RR.,Aerospace engineering,aerospace_auto_defence,gb-rr
MS International,MSI,Defence equipment,aerospace_auto_defence,gb-msi
Avingtrans,AVG,Aerospace engineering,aerospace_auto_defence,gb-avg
TT Electronics,TTG,Aerospace electronics,aerospace_auto_defence,gb-ttg
XP Power,XPP,Power electronics,aerospace_auto_defence,gb-xpp
Renishaw,RSW,Precision engineering,aerospace_auto_defence,gb-rsw
Spectris,SXS,Precision instrumentation,aerospace_auto_defence,gb-sxs
Gooch and Housego,GHH,Photonics and aerospace,aerospace_auto_defence,gb-ghh
Concurrent Technologies,CNC,Defence computing,aerospace_auto_defence,gb-cnc
SDI Group,SDI,Scientific instrumentation,aerospace_auto_defence,gb-sdi
Solid State,SOLI,Electronic components,aerospace_auto_defence,gb-soli
Volex,VLX,Electronic manufacturing,aerospace_auto_defence,gb-vlx
Oxford Instruments,OXIG,Scientific instrumentation,aerospace_auto_defence,gb-oxig
Oxford Metrics,OMG,Measurement technology,aerospace_auto_defence,gb-omg
Judges Scientific,JDG,Scientific instrumentation,aerospace_auto_defence,gb-jdg
discoverIE Group,DSCV,Industrial electronics,aerospace_auto_defence,gb-dscv
Dialight,DIA,Industrial lighting,aerospace_auto_defence,gb-dia
